	Lat	Long
Seixal	32.8243085	-17.1110778
Sao_Vicente	32.7937899	-17.0469557
Boaventura	32.817304	-16.9775394
Sao_Jorge	32.8256602	-16.9204501
Santana	32.8035571	-16.8964856
Faial	32.7822902	-16.8690048
Porto_da_Cruz	32.7641901	-16.8370148
Machico	32.7287655	-16.8089019
Canical	32.7405861	-16.7391154
Santa_Cruz	32.70294	-16.8028033
Canico	32.6540457	-16.8527448
Sao_Goncalo	32.6554867	-16.8827067
Monte	32.6727226	-16.9153369
Santo_Antonio	32.6615632	-16.9440078
Camara_de_Lobos	32.6601177	-17.0062457
Campanario	32.6712399	-17.0428638
Ponta_do_Sol	32.6895283	-17.0986065
Madelane_do_Mar	32.7014374	-17.1346762
Prazeres	32.751613	-17.2168406
Faja_da_Ovelha	32.7766829	-17.2335843
Achadas_da_Cruz	32.8418269	-17.21424
Levada_Grande	32.8551822	-17.1821677
Serra_de_Agua	32.7270353	-17.1659397
Curral_das_Freiras	32.7262798	-17.0392339
Ribeiro_Frio	32.7333322	-16.8920878
