Demand	TW_early	TW_late	TW_service_time	TW_wait_cost
0	0	0	0	0
10	0	0	0	0
15	0	0	0	0
20	0	0	0	0
32	0	0	0	0
41	0	0	0	0
70	0	0	0	0
10	0	0	0	0
5	0	0	0	0
8	0	0	0	0
90	0	0	0	0
100	0	0	0	0
15	0	0	0	0
15	0	0	0	0
45	0	0	0	0
87	0	0	0	0
101	0	0	0	0
400	0	0	0	0
50	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
12	0	0	0	0
25	0	0	0	0
55	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
10	0	0	0	0
10	0	0	0	0
50	0	0	0	0
36	0	0	0	0
44	0	0	0	0
38	0	0	0	0
92	0	0	0	0
100	0	0	0	0
400	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
400	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
1	0	0	0	0
400	0	0	0	0
