X	Y
40	50
25	85
22	75
22	85
20	80
20	85
18	75
15	75
15	80
10	35
10	40
8	40
8	45
5	35
5	45
2	40
0	40
0	45
44	5
42	10
42	15
40	5
40	15
38	5
38	15
35	5
95	30
95	35
92	30
90	35
88	30
88	35
87	30
85	25
85	35
67	85
65	85
65	82
62	80
60	80
60	85
58	75
55	80
55	85
55	82
20	82
18	80
2	45
42	5
42	12
72	35
55	20
25	30
20	50
55	60
30	60
50	35
30	25
15	10
10	20
15	60
45	65
65	35
65	20
45	30
35	40
41	37
64	42
40	60
31	52
35	69
65	55
63	65
2	60
20	20
5	5
60	12
23	3
8	56
6	68
47	47
49	58
27	43
37	31
57	29
63	23
21	24
12	24
24	58
67	5
37	47
49	42
53	43
61	52
57	48
56	37
55	54
4	18
26	52
26	35
31	67
