Demand	TW_early	TW_late	TW_service_time	TW_wait_cost
0	0	960	0	2
20	388	911	10	2
30	30	546	10	2
10	353	708	10	2
40	425	913	10	2
20	40	630	10	2
20	228	667	10	2
20	161	558	10	2
10	229	624	10	2
20	213	648	10	2
30	404	753	10	2
40	33	511	10	2
20	46	519	10	2
10	395	911	10	2
10	35	697	10	2
20	39	528	10	2
20	94	535	10	2
20	394	909	10	2
20	218	571	10	2
40	85	542	10	2
10	391	802	10	2
10	45	517	10	2
40	229	640	10	2
30	45	523	10	2
10	389	914	10	2
20	386	904	10	2
30	389	788	10	2
20	57	600	10	2
10	55	575	10	2
10	52	536	10	2
10	90	521	10	2
20	50	534	10	2
10	425	898	10	2
10	51	602	10	2
30	342	751	10	2
20	410	905	10	2
40	43	617	10	2
10	410	823	10	2
30	114	561	10	2
10	36	658	10	2
30	191	586	10	2
20	201	670	10	2
10	33	568	10	2
20	429	838	10	2
10	49	504	10	2
10	37	597	10	2
10	315	782	10	2
10	38	606	10	2
10	396	904	10	2
10	341	658	10	2
30	351	782	10	2
19	161	610	10	2
3	25	516	10	2
5	239	630	10	2
16	448	873	10	2
16	420	897	10	2
19	390	843	10	2
23	227	686	10	2
20	401	902	10	2
19	42	706	10	2
17	401	923	10	2
9	110	525	10	2
3	29	548	10	2
6	39	593	10	2
17	20	498	10	2
16	11	530	10	2
16	404	847	10	2
9	100	555	10	2
21	436	907	10	2
27	9	510	10	2
23	330	930	10	2
14	81	520	10	2
8	27	622	10	2
5	135	556	10	2
8	430	913	10	2
16	63	520	10	2
31	125	530	10	2
7	390	900	10	2
27	190	659	10	2
30	215	608	10	2
13	444	942	10	2
10	249	580	10	2
9	14	506	10	2
14	19	566	10	2
18	259	650	10	2
2	198	609	10	2
28	212	605	10	2
13	272	565	10	2
19	90	549	10	2
25	325	897	10	2
6	204	633	10	2
13	442	937	10	2
14	14	581	10	2
3	373	928	10	2
23	265	638	10	2
6	20	539	10	2
26	418	825	10	2
35	426	787	10	2
9	14	499	10	2
15	149	586	10	2
3	356	930	10	2
