Demand	TW_early	TW_Late	TW_service_time	 TW_wait_cost
0	0	14	0	0
150	0	14	0	0
100	0	14	0	0
150	0	14	0	0
150	0	14	0	0
150	0	14	0	0
180	0	14	0	0
330	0	14	0	0
50	0	14	0	0
100	0	14	0	0
110	0	14	0	0
50	0	14	0	0
150	0	14	0	0
140	0	14	0	0
130	0	14	0	0
110	0	14	0	0
160	0	14	0	0
110	0	14	0	0
100	0	14	0	0
110	0	14	0	0
100	0	14	0	0
110	0	14	0	0
180	0	14	0	0
110	0	14	0	0
175	0	14	0	0
175	0	14	0	0
175	0	14	0	0
55	0	14	0	0
75	0	14	0	0
110	0	14	0	0
50	0	14	0	0
600	0	14	0	0
500	0	14	0	0
500	0	14	0	0
175	0	14	0	0
175	0	14	0	0
175	0	14	0	0
175	0	14	0	0
175	0	14	0	0
175	0	14	0	0
220	0	14	0	0
165	0	14	0	0
110	0	14	0	0
110	0	14	0	0
45	0	14	0	0
