0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
0.0	51.755	69.07	35.602	8.932	52.171	14.114	15.039	27.227	59.068	67.49	19.806	32.767	20.117	6.972	34.587	67.688	33.163	58.228	37.415	23.928	62.777	37.628	56.651	34.923	29.113	47.655	52.174	24.592	5.624	43.958	58.255	58.874	53.524	51.046	14.386	30.062	40.066	25.364	15.293	49.559	67.548	31.392	15.121	39.76	42.738	76.058	45.947
52.577	0.0	50.588	49.48	53.839	23.703	57.775	51.064	73.71	55.161	40.511	36.886	65.071	37.198	50.634	35.58	39.24	43.151	29.78	83.898	39.684	44.295	7.4	29.672	40.355	61.417	28.12	25.195	34.579	52.932	25.475	29.807	28.435	55.683	54.022	41.047	24.945	38.528	31.087	61.794	21.091	40.568	50.616	39.541	8.84	24.256	49.078	51.988
70.672	53.263	0.0	40.03	71.934	33.902	75.87	69.158	91.805	24.59	37.96	54.981	88.294	55.293	68.729	31.864	57.882	38.018	48.422	101.993	41.953	17.4	44.303	27.121	28.234	86.465	33.681	31.5	36.411	71.027	41.217	48.449	42.398	69.72	72.853	59.142	31.484	21.586	49.182	60.439	39.731	38.018	43.836	57.636	38.699	29.586	9.982	36.95
33.422	48.07	43.39	0.0	31.494	83.772	20.499	40.921	34.705	32.412	87.831	28.107	11.25	28.418	28.776	14.386	64.238	6.726	54.777	73.218	21.829	22.589	33.939	76.992	14.797	5.88	44.205	81.371	15.648	44.308	41.317	54.805	55.423	17.786	11.0	40.269	26.373	19.277	22.713	31.361	46.108	87.888	5.152	25.424	36.076	33.732	85.504	13.497
7.179	54.074	71.389	32.344	0.0	54.49	10.856	17.358	14.915	61.387	69.81	22.125	29.508	22.436	4.281	36.906	70.007	35.483	60.547	41.191	26.247	65.096	39.948	58.971	37.242	25.854	49.974	54.493	26.912	12.803	46.277	60.574	61.193	50.265	47.787	16.705	32.381	42.385	27.684	7.614	51.878	69.867	28.134	11.919	42.08	45.057	78.377	48.266
51.454	25.651	35.592	43.412	52.716	0.0	56.653	49.941	72.587	43.505	21.469	35.764	82.142	36.075	49.511	34.457	23.44	42.028	10.772	82.775	38.562	32.638	25.086	10.63	31.616	80.313	6.766	2.72	33.457	51.809	7.032	10.799	10.582	63.568	66.7	39.925	23.831	26.871	29.964	60.671	5.071	21.526	49.493	38.418	19.463	14.044	30.045	40.332
13.748	57.963	75.279	21.991	11.82	58.38	0.0	21.247	19.348	63.801	73.699	26.015	19.156	26.326	9.102	20.801	73.897	25.341	64.437	45.08	12.456	53.977	43.837	62.86	51.28	15.502	53.864	58.383	19.114	24.634	50.166	64.464	65.083	39.912	37.435	20.595	36.271	56.275	31.573	11.688	55.768	73.757	17.781	12.171	45.969	48.947	93.072	44.511
11.361	49.278	66.594	41.926	16.501	49.695	20.438	0.0	36.388	56.592	65.014	17.329	39.091	17.641	13.296	32.111	65.212	30.687	55.752	46.576	21.452	60.301	35.152	54.175	32.447	35.437	45.179	49.698	22.116	14.369	41.481	55.779	56.398	47.775	46.114	5.169	27.586	37.59	22.888	24.472	47.083	65.071	37.716	19.869	37.284	40.262	73.582	43.471
27.248	72.928	90.243	46.847	15.751	73.344	35.292	36.211	0.0	76.723	88.663	40.979	42.233	41.29	28.15	55.76	88.861	50.943	79.401	13.01	45.101	66.899	58.801	77.824	64.202	40.403	68.828	73.347	45.765	25.481	65.131	79.428	80.047	52.835	50.357	35.846	51.235	69.198	46.537	10.319	70.732	88.721	43.383	36.299	60.933	63.911	105.994	57.433
58.808	54.69	25.48	30.64	60.07	47.482	51.995	57.295	79.941	0.0	51.376	43.118	52.996	43.429	56.865	31.74	63.0	37.894	53.539	90.129	41.829	11.581	47.211	40.537	28.11	51.166	42.967	47.486	36.287	59.163	40.079	53.567	54.185	31.794	29.731	47.275	34.391	21.461	37.288	60.315	44.87	51.433	34.446	42.06	41.607	32.494	36.954	25.673
68.685	41.183	38.588	51.285	69.947	21.822	73.884	67.172	89.818	51.378	0.0	52.995	85.137	53.306	66.742	38.341	12.744	59.259	14.111	100.007	55.793	40.512	42.317	11.871	39.489	83.308	21.601	19.42	50.688	69.041	29.137	14.138	12.593	66.564	69.696	57.156	41.062	34.745	47.196	77.902	27.651	0.197	86.287	55.65	36.695	24.497	33.041	70.124
23.051	31.874	49.19	21.252	24.313	32.291	28.249	21.537	44.184	38.936	47.61	0.0	31.247	0.311	21.108	11.569	47.808	13.358	38.348	54.372	10.158	28.312	17.739	36.771	15.118	31.891	27.775	32.294	4.787	22.464	24.077	38.375	38.994	30.446	28.785	10.434	10.157	19.934	5.555	32.268	29.679	47.667	22.389	10.015	19.88	22.858	56.178	26.141
30.031	62.936	73.591	13.822	28.104	84.543	17.108	37.531	26.049	57.003	88.602	30.993	0.0	31.304	25.386	25.506	108.524	17.847	99.064	35.59	24.715	47.18	48.809	77.763	26.59	7.378	84.322	82.142	26.769	40.917	71.518	99.091	93.039	33.115	30.637	36.878	41.243	49.478	36.548	25.343	90.373	88.659	10.287	28.31	50.941	63.932	86.275	25.29
22.913	31.737	49.052	21.115	24.175	32.153	28.112	21.4	44.046	38.799	47.473	4.952	31.109	0.0	20.97	11.431	47.67	13.22	38.21	54.234	10.021	28.175	17.602	36.634	14.98	31.753	27.637	32.156	4.649	22.326	23.94	38.237	38.856	30.308	28.647	10.296	10.02	19.796	5.418	32.13	29.541	47.53	22.251	9.878	19.742	22.72	56.04	26.004
7.003	51.219	68.534	29.387	4.292	51.635	7.899	14.503	28.147	58.532	66.954	19.27	26.552	19.581	0.0	34.051	67.152	32.737	57.692	38.335	23.392	62.241	37.092	56.115	34.387	22.898	47.119	51.638	24.056	13.492	43.422	57.719	58.338	47.309	44.831	13.85	29.526	39.53	24.829	11.687	49.023	67.012	25.177	8.149	39.224	42.202	75.522	51.907
31.247	34.046	30.346	14.808	32.509	34.463	25.185	29.734	52.38	30.362	38.724	15.557	24.802	15.868	29.304	0.0	49.98	8.275	40.52	62.568	15.019	19.738	19.915	27.885	5.683	19.606	29.947	34.466	8.057	32.173	26.25	40.547	41.166	21.011	19.35	20.143	12.349	9.823	12.351	33.506	31.851	38.782	15.944	15.25	22.052	20.063	32.682	16.707
68.213	42.417	58.15	62.631	69.475	23.928	73.412	66.7	89.346	62.724	13.113	52.523	104.804	52.834	66.27	51.217	0.0	58.787	12.265	99.534	55.321	51.857	41.845	25.121	50.835	102.975	28.956	28.823	50.216	68.568	28.673	12.293	18.475	69.314	89.362	56.684	40.59	46.09	46.723	77.43	22.085	13.171	66.252	55.178	36.223	33.263	52.707	59.551
32.112	41.344	39.461	8.814	33.374	41.761	27.874	30.598	53.245	36.126	46.022	16.421	18.808	16.733	30.169	7.659	57.278	0.0	47.818	63.433	8.919	25.502	27.212	35.183	11.208	13.612	37.245	41.764	8.922	33.037	33.547	47.845	48.464	21.392	19.731	21.008	19.647	15.348	15.987	38.736	39.149	46.079	9.95	16.859	29.35	29.802	38.207	17.102
58.791	32.995	48.728	53.209	60.053	10.549	63.99	57.278	79.924	53.302	12.482	43.101	95.382	43.412	56.848	41.795	12.588	49.365	0.0	90.112	45.899	42.435	32.423	23.879	41.413	93.553	19.534	11.444	40.794	59.146	19.251	0.365	2.948	59.892	79.94	47.262	31.168	36.668	37.302	68.008	12.663	12.539	56.83	45.756	26.801	23.841	43.285	50.129
37.952	83.631	100.947	58.311	36.608	84.048	45.996	46.915	12.994	90.945	99.367	51.682	36.549	51.994	38.854	66.464	99.565	62.407	90.105	0.0	55.805	94.654	69.505	88.528	66.8	51.867	79.532	84.051	56.469	37.442	75.834	90.132	90.751	64.299	61.821	46.263	61.939	80.661	57.241	21.783	81.436	99.425	54.847	47.003	71.637	74.615	107.935	68.897
24.674	40.608	57.923	15.434	25.936	41.024	11.545	23.161	45.807	43.195	56.344	8.665	25.556	8.976	22.731	11.15	56.542	8.699	47.081	55.995	0.0	32.571	26.482	45.505	16.276	21.903	36.508	41.027	7.726	26.548	32.811	47.108	47.727	27.764	26.104	14.65	18.915	20.416	14.22	20.489	38.412	56.401	16.601	5.998	28.614	31.591	64.911	23.475
48.124	44.049	15.732	20.871	49.386	36.841	41.311	46.611	69.257	12.207	40.734	32.434	43.227	32.745	46.181	21.056	52.358	27.21	42.898	79.445	31.145	0.0	36.57	29.895	17.426	41.398	32.325	36.844	25.603	48.479	29.438	42.925	43.544	22.025	19.963	36.591	23.75	10.777	26.604	49.631	34.229	40.792	24.678	31.376	30.965	21.852	17.015	15.905
38.164	8.657	42.073	35.06	39.426	25.174	43.363	36.651	59.298	46.646	40.493	22.474	50.659	22.785	36.221	21.161	40.691	28.738	31.231	69.486	25.272	35.78	0.0	29.654	25.935	47.005	20.658	25.177	20.167	38.52	16.96	31.258	31.877	41.264	39.603	26.628	10.534	25.419	16.671	47.381	22.562	40.551	36.196	25.129	12.775	15.754	49.061	36.959
60.135	32.632	30.037	42.734	61.396	13.271	65.333	58.621	81.268	42.828	11.57	44.444	76.587	44.755	58.192	29.791	23.803	50.708	16.978	91.456	47.242	31.961	33.766	0.0	30.938	74.757	7.56	10.869	42.137	60.49	20.586	17.005	16.007	58.013	61.145	48.605	32.511	26.194	38.645	69.351	19.1	11.627	77.737	47.099	28.144	15.946	24.49	61.573
35.968	43.222	30.684	11.796	37.23	36.014	33.526	34.455	62.97	27.349	39.907	20.278	24.461	20.589	34.025	6.842	51.531	14.959	42.071	89.308	20.485	16.725	26.395	29.068	0.0	16.979	31.498	36.017	12.779	36.894	28.611	42.098	42.717	15.324	13.663	24.864	18.83	6.571	18.831	44.388	33.402	39.965	15.602	20.716	30.138	21.025	29.43	11.034
30.168	51.93	69.566	6.49	28.24	80.519	17.245	37.667	31.451	36.874	84.577	25.98	7.996	26.291	25.522	18.245	104.499	10.586	95.039	69.964	19.702	27.05	37.798	73.738	19.258	0.0	80.297	78.117	19.508	41.054	44.133	95.066	89.014	29.09	26.612	37.015	30.233	45.453	26.573	28.107	86.348	84.634	3.026	23.298	39.936	59.907	82.25	17.958
48.027	26.781	34.679	42.426	49.289	5.64	53.226	46.514	69.16	42.519	20.555	32.337	81.228	32.648	46.084	31.03	29.897	38.601	15.215	79.348	35.135	31.653	21.639	9.716	30.63	79.399	0.0	4.275	30.03	48.382	4.69	15.243	15.025	62.655	65.787	36.498	20.403	25.885	26.537	57.244	9.925	20.612	46.066	34.991	16.034	13.058	29.132	39.346
53.103	25.6	32.38	47.586	54.365	3.078	58.302	51.59	74.236	47.679	18.256	37.413	78.93	37.724	51.16	36.106	30.22	43.677	11.06	84.424	40.211	36.813	26.735	7.417	35.79	77.1	5.108	0.0	35.106	53.458	9.105	11.087	7.828	60.356	63.488	41.574	25.48	31.045	31.613	62.32	8.097	18.314	80.08	40.067	21.113	18.218	26.833	63.916
