lat	long	ocorrencias
-22.86389027	-43.43481209	SEG SOL ASSUME OC DE ATROPELAMENTO HOMEM FOI ATROPELADO AO TENTAR ATRAVESSAR AVENIDA BRASIL. CONDUTOR DO VEÍCULO PRESTOU NO SOCORRO. DADOS DO VEÍCULO: SIENA CINZA PLACA KYF0980. VÍTIMA JÁ FOI ENCAMINHADO PARA O HOSPITAL GETÚLIO VARGAS. CONDUTOR SERÁ ENCAMINHADO PARA A 21ºDP.  VTR:546799.
-22.77800167	-43.36121321	SOL INF QUE 2 INDIVÍDUOS EM MOTO O ABORDARAM E ROUBARAM SEU SANDERO BRANCO PL KQT 2364 . ATRAVÉS DE RASTREADOR ( DE SEGURO ) O MESMO ESTÁ PARADO NA : R. PARTICULAR - RUA  ATRÁS DA IGREJA BATISTA DO REDENTOR - ESQ. C. ESTRADA DE BELFORD ROXO. SOL ORIENTADO A SE DIRIGIR À D.P. P/ R.O.
-22.82788308	-43.30038239	SEG SOL INDS PROVEM BLOQUEIO NA RUA COM CARROS ATRAVESSADOS. COM O SOM EM VOLUME ALTISSIMO E MUITA ALGAZARRA. ALÉM DE MOTOS EM MANOBRAS RADICAIS E ALTA VELOCIDADE. INFORMA QUE UMA VTR ESTEVE NO LOCAL. ONDE OS POLICIAIS CONVERSARAM COM OS INDS. E ASSIM QUE SAIRAM. TUDO VOLTOU.
-23.03008676	-43.47772813	SEG SOL CARRO DO SEU AMIGO TEVE O VIDRO QUEBRADO E OBJETOS FORAM FURTADOS. ALÉM DE O VEÍCULO ESTAR IMPOSSIBILITADO DE SAIR DO LOCAL E INDVS SUSPEITOS ESTAREM OBSERVANDO E RONDANDO AS PROXIMIDADES. // SOL E O AMIGO ESTÃO EM UM CLASSIC DOURADO PARADO NA RUA.
-23.01393554	-43.31301892	SEG SOL. CERCA DE 05 INDVS. SENDO UMA MULHER BRANCA USANDO SAIA BRANCA CURTA E TOP BRANCO. INDV NEGRO USANDO CAMISA BRANCA E SHORT BRANCO. UM INDV NEGRO CAMISA AZUL SHORT MARROM SENTADO EM CADEIRA C/ NÚMERO 7/76. CONSUMINDO ENTORPECENTES (EMBAIXO DE GUARDA SOL AZUL C/ BORBOLETAS BRANCAS) // SEM MAIS
-22.83215856	-43.40001841	"SEG SOL DAFS NO LOCAL POR TRÊS INDVDS NO LOCAL // SEG SOL DAFS DE ARMAS CURTAS // UM DELES ESTÁ DE CAMISA E BONÉ PRETO E BERMUDA AZUL. BRANCO. ESTATURA BAIXA. MAGRO E APROX 25 ANOS. // 
OUTRO NEGRO. ESTATURA ALTA. CORPO MÉDIO E APROX UNS 30 ANOS E ESTÁ VESTINDO CAMISETA BRANCA E BERMUDA VERMELHA // POSSUI VEÍCULOS QUE FACILITE A FUGA (UM CELTA PRETO E UMA MOTO PRETA HONDA 125CC ) // SEM MAIS"
-22.62936885	-43.03020413	SEG SOL NO LOCAL ACONTECE FESTA NA RUA. COM MUITAS CRIANÇAS TRANSITANDO. E IND DE NOME WALLACE. ESTAVA CIRCULANDO COM UMA MOTO EM ALTA VELOCIDADE. E MORADORES FORAM PEDIR QUE ELE MODERASSE A VELOCIDADE. E O IND BUSCOU UMA PISTOLA. COLOCOU NA CINTURA E CONTINUA EM ALTA VELOCIDADE. INFORMA QUE CHAGARAM MAIS DOIS INDS QUE TAMBÉM ESTÃO EM MOTOCICLETAS.
-22.80960254	-42.96282196	SEG SOL ESTÁ EM DESENTENDIMENTO COM GERENCIA DO LOCAL. SOL INF ENCONTROU LOCAL(23:30) SEM AR CONDICIONADO E DESDE ENTÃO TENTA SOLUCIONAR PROBLEMA COM GERENCIA. SOL INF PROBLEMA NÃO FOI SOLUCIONADO  E NÃO USUFRUIU DO LOCAL. MAS ESTÁ SENDO COBRADA COMO SE NADA TIVESSE OCORRIDO.
-22.9701141	-43.18223552	SEG. SOL. FOI ROUBADO POR CERCA DE 10 INDIVS//INFO QUE FOI AGREDIDO PELOS MESMOS POR CHUTES E SOCOS//INFO QUE ESTAVAM SEM CAMISA. SEM BERMUDA. DE COR PARDA//ALEGA QUE NESSE MOMENTO ACOMPANHA LOCALIZAÇÃO DO APARELHO TELEFÔNICO QUE ESTÁ NO BAIRRO DO FLAMENGO (ATERRO DO FLAMENGO PALÁCIO DO CATETE - SENTIDO CENTRO - PASSANDO POR MARIA DA GLÓRIA) E CONTINUA EM MOVIMENTO//SEM MAIS.
-22.98884306	-43.43999101	Seg sol guarnição em patrulha deteve individuo em uma motocicleta sem capacete e foi constatado 9 munições de calibre .38 encaminhado pela prefixos 40-1773 / 40-1742 até 32ª DP e seguida foi ao batalhão e o conduziram com uma vtr 54-6916 para exame de alcoolemia na foi  constatado que havia consumido bebida alcoolica
-22.75847359	-43.49213469	SEG SOL. VIZINHA AGREDIU A SOBRINHA DE SOL // NO DECORRER DA OCORRENCIA. QUANDO SOL INTERVEIO. MÃE DA AGRESSORA AMEAÇOU DE IR CHAMAR BANDIDOS P/ ATENTAREM CONTRA A VIDA DE SOL // NÃO FOI POSSÍVEL ENTREGAR O SCRIPT FINAL. POIS A LIGAÇÃO FOI ENCERRADA // OC: 01146 // SEM MAIS
-22.86423422	-43.77665678	"SOL INF ROUBO DE SEU AUTO/2 INDIVS ARMADOS COM 38/OS DOIS MAGROS DE BONÉ/DIREÇÃO AO MORRO DO CARVÃO.BAIRRO DO ENGENHO OU ATRÁS DOS PRÉDIOS/INDIVS A PÉ
PEGEOUT PRETO PLACA LOR 3076/PLACA DO RJ/ROUBARAM TAMBEM O SEU CELULAR LG G3/COM DOCUMENTO DO CARRO NO NOME DE SEU CUNHADO THIAGO COSTA VASCONCELOS."
-22.89181233	-43.24216604	SOLICITANTE INFORMA QUE AO ENTRAR PELO MANDELA I. ELEMENTOS ATIRARAM CONTRA A GUARNIÇÃO E O SD CARVALHO FOI ATINGIDO NO COLETE. DOIS ELEMENTOS ATINGIDOS FORAM DESLOCADOS PARA O HOSPITAL E OUTRO DELES CHEGOU NO HOSPITAL GERAL DE BONSUCESSO VIA MEIOS PRÓPRIOS VTR 52-1943
-22.90989209	-43.17063054	SEG SOL. SEU EX-ESPOSO INVADIU O SEU DOMICILIO E ROUBOU O SEU CELULAR. POIS SOL GRAVOU DIVERSOS AUDIOS QUE COMPROMETEM O MESMO. PARA APRESENTAR EM AUDIENCIA MARCADA COM AS PARTES. DEVIDO A AGRESSÕES ANTERIORES. SOL POSSUI MEDIDA PROTETIVA CONTRA MESMO// EM LIGAÇÃO É POSSÍVEL OUVIR QUE O MESMO RETORNOU AO DOMICILIO DA VÍTIMA E PERMANECE NO LOCAL
-22.77235303	-43.42506969	SEG SOL RESIDE NA RUA MENCIONADA. ONDE ACONTECE UMA FESTA EM CÉU ABERTO. CUJO ESPAÇO ESTÁ BLOQUEADO POR CARROS. E O CONSUMO DE DROGAS É OSTENSIVO. SOM DE FUNK ALTO DEMAIS. ACONTECE QUE A MESMA NÃO ESTÁ PODENDO ESTRAR COM SEU CARRO E COLOCÁ-LO NA GARAGEM.
-22.77988655	-43.38724767	SOL INF QUE TEM APROX 4 CARROS FAZENDO RACHAS NA RUA DE SUA CASA EM ALTA VELOCIDADE // TEM MAIS 5 MOTOS NO LOCAL // UM CARRO É UM ASTRA PRETO E OUTRO É UM SIENNA TIPO VINHO ESCURO (SOL NÃO CONSEGUE VER AS PLACAS DOS VEICULOS E O MODELO DOS DEMAIS) // SOL INF QUE TEM APROX 40 PESSOAS NA CALÇADA ASSISTINDO O RACHA. MAIS PESSOAS EM CIMA DA PASSARELA 
-22.81234243	-43.36389068	SOL INFORMA QUE SEU GENRO AGRIDE A SUA FILHA. E. NESTE MOMENTO. TENTA AGREDIR SOL. E LHE FAZ AMEAÇAS // SOL AGUARDARÁ VTR EM FRENTE A SUA CASA. NO PORTÃO / CLIMA MUITO TENSO // NÃO FOI POSSIVEL ENTREGAR O SCRIPT FINAL NEM ENTREGAR INFORMAÇÕES PERTINENTES. POIS A LIGAÇÃO FOI ENCERRADA // SEM MAIS 
-22.74633927	-43.41109503	SEG SOL FOI AGREDIDA PELO SEU EX  ENTEADO. O MESMO A AMEAÇA DE MORTE POIS O PRIMO É POLICIAL  MILITAR  E MORA NO MEMSO LOCAL / SOL ESTA DESCALÇA  POIS ELE JOGOU SEU CLÇADO NO VALAO //SOL ESTA TRAJANDO MACACAO COR DE ABOBORA E PRETO. PROXIMO AO TEL PUBLICO// SEM MAIS 
-22.86389027	-43.43481209	SOL INF QUE ESTAVA COM SEU FILHO E SEU CACHORRO NO CARRO. E UM FIAT IDEIA VINHO FECHOU O CARRO DA SOL. E 5 RAPAZES (APARENTEMENTE MENORES). SENDO 2 ARMADOS DE PISTOLA. AMEAÇOU A SOL E LEVOU O SEU CARRO COM PERTENCES. DINHEIROS E DOCUMENTOS DA SOL. DO CARRO E DE SEU FILHO // TODOS DE BERMUDA. BONÉ. E UM DELES MORENO ESCURO MAGRO. DE BERMUDA CLARA ESTAMPADA E CAMISETA CLARA // CARRO DA SOL É UM GOL VERMELHO DA PLACA LPK 9003 1.0 
-22.78879761	-43.38551799	SEG SOL. TEVE SEUS PERTENCES E DOCUMENTOS ROUBADOS POR DOIS INDVS PORTANDO ARMA DE FOGO (40) EM UM TÁXI BRANCO PL: NÃO INF. OS MESMOS SE EVADIRAM EM SENTIDO A PADARIA VASTÃO EM DIREÇÃO A VILA ROSALI. VILAR DOS TELES//UM DELES É MORENO E ESTÁ TRAJANDO UMA BLUSA VERMELHA. APARENTA 40 ANOS. BARBA RALA 
-22.90356372	-43.19139719	SEG SOL. AVISTOU UM HOMEM AGREDINDO UMA MULHER NA RUA . APÓS O HOMEM SE EVADIU DO LOCAL. O MESMO ENTROU NO COLETIVO 363 EM DIREÇÃO A VILA VALQUEIRE DEIXANDO A MULHER FERIDA AO SOLO //INDV É BRANCO. APARENTA 30 ANOS. ESTÁ SEM CAMISA E USA BERMUDA CLARA. 
-22.91684573	-43.24642044	SEG. SOL. INDIV BATE NA VIDRAÇA DE VEÍCULO COR PRATA E ALEGA QUE SUA MÃE FOI AGREDIDA//INFO QUE INDIV É DE PELE BRANCA. PORTE FORTE. USA CAMISA AMARELA E ESTÁ ACOMPANHADO POR CRIANÇAS//ALEGA QUE DEIXOU O LOCAL POIS INDIV APARENTOU PROCEDER EM SUA DIREÇÃO//SEM MAIS.
-22.84486182	-43.31420124	SEG SOL. TEVE SEU AUTO CELTA PRETO PL: LQR 1525 ROUBADOS POR DOIS INDVS. OS MESMOS SE EVADIRAM EM SENTIDO A RUA PADRE ROSÊ//UM DELES É MORENO. POSSUI CABELO ENROLADO E ESTÁ TRAJANDO CASACO PRETO E BERMUDA//END. RESIDENCIAL: RUA PORTO CRISTAL. 16-PADRE MIGUEL-RJ
-22.80993642	-43.43043142	SEG SOL. 04 INDVS. SENDO UM INVD MORENO. USANDO BONÉ BRANCO. CAMISA BRANCA. CHINELOS. BERMUDA JEANS. A PÉ. PROVAVELMENTE ARMADO. MAIS DOIS INDVS EM MOTOS. QUE ESTÃO CIRCULANDO E RETORNANDO AO LOCAL. MAIS UM INDV NÃO IDENTIFICANDO ESTÃO FAZENDO ESPECIE DE CERCO NO LOCAL. AGUARDANDO ALGUEM OU ALGO NO LOCAL // SEM MAIORES INFORMAÇÕES 
-22.94576424	-43.37584957	SEG SOL. APÓS DOIS AUTOS AUTO TÁXI PL: KWQ 9895 X PICAPE BRANCA PL: SDV 9203  SE CHOCAREM E/F AO SEU CONDOMÍNIO. SEM VÍTIMAS. SOL ESTÁ EM DESENTENDIMENTO COM OS MESMOS DEVIDO A GRITARIA E BARULHO DE AMBOS EM DISCUSSÃO//SOL AFIRMA QUE AUTOS CAUSARAM DANOS NA FRENTE DO CONDOMINIO
