Num_Quest	Post	Age	Gender	Years_Service	Years_Operations	Command_Area	Homicide	Homicide_Robbery	Vehicle_Robbery	Home_Robbery	Street_Robbery	Cargo_Theft	Bank_Robbery	Comertial_Establish_Robbery	Theft	Kidnapping	Drug_Seizure	Arm_Seizure	Threat	Narcotic_Use	Drug_Trafficking	Disruption_of_Silence	Traffic_Accident	Illegal_Weapon	Domestic_Violence	Bank_Alarm	Strategy
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	5.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	6.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	7.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	2.0	4.0	2.0	3.0	4.0	2.0	2.0	9.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	4.0	2.0	1.0	4.0	2.0	2.0	10.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	1.0	3.0	4.0	2.0	1.0	4.0	1.0	1.0	11.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	1.0	3.0	4.0	2.0	1.0	3.0	1.0	1.0	12.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	2.0	3.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	13.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	1.0	2.0	3.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	14.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	1.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	15.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	1.0	3.0	4.0	1.0	1.0	4.0	1.0	1.0	16.0
1.0	2.0	53.0	1.0	33.0	5.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	4.0	4.0	1.0	1.0	2.0	2.0	1.0	17.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	1.0	2.0	2.0	2.0	4.0	2.0	2.0	4.0	4.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0	4.0	4.0	1.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	2.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	1.0	3.0	3.0	1.0	3.0	2.0	1.0	2.0	3.0	3.0	2.0	4.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	1.0	2.0	2.0	2.0	4.0	2.0	2.0	4.0	5.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0	3.0	4.0	2.0	4.0	5.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0	5.0	5.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	5.0	6.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	5.0	3.0	2.0	4.0	7.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	8.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	5.0	5.0	3.0	4.0	5.0	5.0	4.0	3.0	5.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0	1.0	3.0	3.0	9.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	5.0	4.0	4.0	3.0	4.0	5.0	3.0	5.0	2.0	4.0	2.0	10.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	5.0	3.0	3.0	2.0	3.0	5.0	5.0	4.0	5.0	2.0	5.0	11.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	5.0	3.0	3.0	2.0	3.0	5.0	4.0	3.0	4.0	2.0	4.0	12.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	5.0	5.0	3.0	2.0	5.0	5.0	2.0	2.0	5.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	5.0	5.0	3.0	13.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	4.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	4.0	1.0	3.0	4.0	2.0	14.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	5.0	5.0	5.0	4.0	4.0	5.0	2.0	3.0	4.0	3.0	1.0	15.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	3.0	3.0	3.0	5.0	3.0	3.0	5.0	4.0	5.0	3.0	3.0	4.0	4.0	5.0	2.0	4.0	2.0	2.0	2.0	16.0
2.0	2.0	32.0	1.0	12.0	9.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	3.0	5.0	4.0	5.0	3.0	3.0	1.0	1.0	3.0	17.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	7.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	8.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	9.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	10.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	11.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	12.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	13.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	14.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	15.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	16.0
3.0	3.0	40.0	2.0	20.0	17.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	17.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	2.0	4.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	5.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	2.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	7.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	8.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	9.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	1.0	3.0	1.0	1.0	10.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	1.0	3.0	1.0	1.0	11.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	4.0	4.0	1.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	3.0	4.0	1.0	1.0	12.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	1.0	3.0	1.0	1.0	13.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	1.0	3.0	3.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	1.0	1.0	3.0	1.0	4.0	3.0	2.0	2.0	14.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	1.0	4.0	1.0	1.0	4.0	4.0	1.0	15.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	2.0	1.0	4.0	1.0	1.0	4.0	2.0	1.0	16.0
4.0	3.0	37.0	1.0	17.0	12.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	17.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	5.0	5.0	2.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	5.0	5.0	2.0	5.0	5.0	5.0	1.0	5.0	1.0	1.0	1.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	5.0	5.0	5.0	5.0	3.0	5.0	3.0	3.0	2.0	5.0	4.0	5.0	1.0	3.0	3.0	5.0	5.0	5.0	1.0	1.0	2.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	5.0	5.0	5.0	2.0	2.0	5.0	3.0	4.0	2.0	5.0	4.0	5.0	1.0	3.0	3.0	5.0	5.0	5.0	1.0	1.0	3.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	1.0	3.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	5.0	1.0	5.0	1.0	1.0	4.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	5.0	5.0	5.0	1.0	5.0	1.0	1.0	5.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	1.0	3.0	5.0	5.0	4.0	5.0	3.0	3.0	6.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	5.0	4.0	5.0	1.0	3.0	3.0	5.0	5.0	5.0	1.0	1.0	7.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	5.0	1.0	5.0	1.0	5.0	3.0	1.0	8.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	5.0	5.0	3.0	2.0	5.0	5.0	3.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	5.0	5.0	1.0	5.0	1.0	9.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	5.0	5.0	1.0	1.0	5.0	1.0	1.0	10.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0	5.0	1.0	1.0	5.0	1.0	1.0	11.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	5.0	1.0	1.0	5.0	5.0	1.0	5.0	5.0	1.0	1.0	5.0	1.0	1.0	12.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	5.0	5.0	1.0	5.0	5.0	1.0	1.0	5.0	5.0	5.0	1.0	5.0	3.0	1.0	1.0	5.0	1.0	1.0	13.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	5.0	1.0	1.0	5.0	5.0	1.0	1.0	5.0	5.0	5.0	1.0	5.0	1.0	1.0	5.0	5.0	1.0	1.0	14.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	15.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	1.0	1.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	1.0	5.0	5.0	5.0	1.0	5.0	1.0	1.0	16.0
5.0	4.0	46.0	1.0	26.0	20.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	17.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	4.0	3.0	2.0	5.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	4.0	4.0	3.0	4.0	2.0	3.0	2.0	1.0	1.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	4.0	5.0	3.0	4.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	2.0	3.0	2.0	1.0	2.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	2.0	4.0	2.0	1.0	3.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	4.0	3.0	3.0	5.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	4.0	3.0	4.0	2.0	3.0	2.0	1.0	4.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	4.0	3.0	3.0	5.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	4.0	4.0	3.0	4.0	2.0	3.0	2.0	1.0	5.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	3.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	2.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	2.0	1.0	6.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	2.0	2.0	3.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	2.0	1.0	7.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	3.0	3.0	3.0	5.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	4.0	4.0	3.0	4.0	2.0	3.0	2.0	1.0	8.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	2.0	4.0	2.0	2.0	4.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	1.0	9.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	4.0	4.0	3.0	4.0	4.0	3.0	1.0	4.0	3.0	1.0	10.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	4.0	3.0	3.0	3.0	3.0	1.0	4.0	3.0	1.0	11.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	3.0	4.0	3.0	3.0	4.0	2.0	2.0	1.0	1.0	4.0	4.0	3.0	3.0	3.0	3.0	2.0	4.0	1.0	1.0	12.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	13.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	2.0	3.0	2.0	3.0	4.0	3.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	1.0	14.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	3.0	1.0	1.0	16.0
6.0	2.0	38.0	1.0	19.0	16.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	1.0	1.0	17.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	2.0	2.0	5.0	1.0	2.0	2.0	3.0	4.0	3.0	5.0	2.0	2.0	2.0	1.0	1.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	2.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	4.0	3.0	1.0	2.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	3.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	4.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	1.0	2.0	2.0	4.0	5.0	5.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	2.0	1.0	3.0	5.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	2.0	3.0	5.0	3.0	4.0	5.0	5.0	4.0	4.0	2.0	5.0	3.0	3.0	2.0	5.0	5.0	2.0	3.0	4.0	3.0	6.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	2.0	2.0	5.0	3.0	3.0	5.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	2.0	5.0	2.0	1.0	2.0	3.0	1.0	7.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	8.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	3.0	4.0	5.0	5.0	2.0	3.0	1.0	9.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	5.0	5.0	4.0	3.0	1.0	3.0	1.0	1.0	1.0	5.0	4.0	4.0	2.0	2.0	5.0	2.0	2.0	4.0	1.0	1.0	10.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	5.0	4.0	4.0	3.0	1.0	3.0	1.0	1.0	1.0	4.0	4.0	4.0	2.0	3.0	5.0	2.0	2.0	4.0	1.0	1.0	11.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	1.0	4.0	5.0	1.0	1.0	5.0	2.0	2.0	2.0	4.0	5.0	4.0	2.0	4.0	5.0	3.0	4.0	5.0	1.0	2.0	12.0
7.0	3.0	36.0	2.0	17.0	14.0	1.0	2.0	2.0	5.0	2.0	3.0	5.0	3.0	2.0	2.0	3.0	5.0	3.0	1.0	2.0	4.0	2.0	5.0	5.0	3.0	2.0	13.0
