Charity_Legal_Name;Adress
Australian Nurses Memorial Centre;G Se 11 431 St Kilda Rd   Melbourne Victoria
Nafsika Stamoulis Hellenic Museum Limited;280 William St   Melbourne Victoria
Financial Basics Community Foundation Limited;L 7 525 Flinders St   Melbourne Victoria
Short Black Opera Company Pty Ltd;U 1202 576-578 St Kilda Rd   Melbourne Victoria
Carbon Market Institute Limited;L 8 350 Collins St   Melbourne Victoria
Mallacoota RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Inglewood-Bridgewater RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Community Information & Support Victoria Inc;L 9 Se 907 343 Little Collins St   Melbourne Victoria
MENTONE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Australia Vietnam Friendship Society Inc;Se 1222 1 Queens Rd   Melbourne Victoria
Australian Catholic Safeguarding Limited;L 13 200 Queen St   Melbourne Victoria
St Eleftherios Monastery of Mt Athos Foundation;L14 440 Collins Street   MELBOURNE VIC
Wesley College Foundation Scholarship Fund;Wesley College   Melbourne Victoria
Rock Art Australia;L 4 71 Collins St   Melbourne Victoria
Red Dust Role Models Limited;Unit 1, 419 Lonsdale St   Melbourne Victoria
Crossculture Church Of Christ Inc;329-333 Swanston St   Melbourne Victoria
Health Education Australia Limited;L 16 120 Spencer St   Melbourne Victoria
The Biography Program;U 207 55 Queens Rd   Melbourne Victoria
The Difference Incubator Ltd;L 4 401 Collins St   Melbourne Victoria
Birchip RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
FAIRFIELD-ALPHINGTON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Rado Family Foundation;L 8 416-420 Collins St   Melbourne Victoria
SUNSHINE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Anglican Diocese Of Melbourne Aborigines' Trust Fund;209 Flinders Lane   Melbourne VIC
MORWELL RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Victorian Farmers Federation Scholarship Fund;L 5 24-28 Collins St   Melbourne Victoria
The Marin Charitable Trust;L 6 432 St Kilda Rd   Melbourne Victoria
The George Hicks Foundation Ltd.;97 Spring St   Melbourne Victoria
HousingFirst Ltd;L 3 492 St Kilda Rd   Melbourne Victoria
McCredden Charitable Trust;L 7 24-28 Collins St   Melbourne Victoria
DERRINALLUM RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Alan Missen Foundation;Marin Accountants Level 6, 432 St Kilda Road  Melbourne VIC
The Trustee For Q C F Account Sutton J E Memorial Fund Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
NATHALIA  PICOLA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Campbell Foundation;L 7 24-28 Collins St   Melbourne Victoria
The Trustee For The Queensland Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Murtoa RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Luce Sulla Collina Foundation;L 10 530 Collins St   Melbourne Victoria
The Greek Orthodox Community Of Melbourne And Victoria;L 3 168 Lonsdale St   Melbourne Victoria
Yooralla;L 14 595 Collins St   Melbourne Victoria
UPPER YARRA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Girgarre RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Marco Polo Project;U 508 115 Swanston St   Melbourne Victoria
The Trustee For Donkey Wheel Fund;G 673 Bourke St   Melbourne Victoria
BAIRNSDALE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Warrnambool RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
People and Parks Health Trust;L 10 535 Bourke St   Melbourne Victoria
The Trustee For Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Stroke Association Of Victoria Inc.;L 3 257 Collins St   Melbourne Victoria
Theo Murphy Fund;Mayfair Building 171 Collins Street  Melbourne VIC
Australia China Health Accelerator Limited;L 17 390 St Kilda Rd   Melbourne Victoria
HEALTHY MALE LIMITED;L 2 492 St Kilda Rd   Melbourne Victoria
WARRNAMBOOL RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
