PsychTest1,PsychTest2,YrsEdu,IQ,HrsTrn,HrsWrk,ClientSat,SuperSat,ProjCompl
62,78,5,97,6,33,84,59,34
46,27,2,93,7,54,55,38,56
68,75,2,96,5,47,70,68,38
55,56,4,103,7,80,63,81,78
51,32,4,98,5,53,55,39,56
51,66,3,102,10,56,63,68,57
55,40,0,98,8,54,61,53,53
55,64,1,95,7,75,58,71,75
50,33,2,96,10,69,63,61,62
55,36,0,94,6,68,66,56,63
52,59,3,103,3,12,60,35,16
68,84,1,91,9,69,85,79,73
59,53,2,96,6,31,64,35,28
37,24,2,99,8,82,39,52,76
42,26,5,95,4,44,49,28,47
47,61,1,101,7,56,58,61,50
58,62,0,93,3,25,59,37,24
42,30,2,92,7,59,45,42,60
69,54,5,105,6,57,92,64,58
46,45,1,93,6,27,30,30,26
58,53,4,95,10,83,65,73,78
64,61,3,95,7,35,74,48,34
49,66,4,100,6,61,56,67,61
42,32,2,98,6,44,38,38,52
50,44,4,104,6,65,54,60,65
44,56,0,97,6,47,33,48,41
48,67,2,95,7,45,56,55,45
49,64,3,97,4,50,47,54,47
81,70,2,95,4,55,93,67,49
47,38,1,94,5,62,55,53,62
36,50,3,94,3,43,24,46,44
48,31,4,101,13,100,76,75,95
61,60,1,101,6,72,71,77,71
26,12,2,92,4,30,10,8,35
35,54,4,104,3,28,26,40,38
45,31,4,102,3,27,39,30,31
48,51,2,100,8,68,45,72,71
61,77,3,95,8,74,75,79,64
51,32,3,94,4,36,51,33,41
32,31,2,102,7,63,23,56,57
38,40,0,100,5,62,33,56,55
31,45,2,95,9,62,32,53,62
56,63,2,94,5,58,62,57,55
38,39,5,102,3,44,40,44,51
24,20,3,95,6,54,27,39,51
50,38,5,96,9,86,67,65,78
66,54,0,90,4,48,63,52,51
44,55,1,99,5,59,21,55,54
59,74,0,100,5,45,68,61,47
58,59,1,101,7,32,64,47,34
30,16,4,101,3,31,19,18,33
35,48,1,92,7,38,37,41,35
69,62,2,102,5,16,92,42,23
63,67,2,101,7,64,82,67,55
47,60,0,92,4,22,35,39,23
35,46,5,98,5,47,43,46,49
43,59,0,97,4,44,44,47,42
32,45,4,104,4,8,28,22,17
49,42,2,101,7,48,60,47,45
38,39,2,99,7,78,25,63,74
56,62,4,102,9,79,80,79,78
56,69,0,90,8,60,65,64,55
50,50,2,101,5,57,68,55,59
39,36,0,97,5,37,38,31,35
44,29,3,97,9,76,49,52,67
49,33,2,100,8,86,38,63,82
57,46,4,98,8,71,64,63,65
48,30,2,99,6,70,33,48,61
49,47,5,105,9,88,67,71,83
39,33,3,93,7,57,43,46,49
48,49,4,97,6,39,48,44,40
