,userId,productId,Rating
118,AT09WGFUM934H,0594481813,3.0
178,A17HMM1M7T9PJ1,0970407998,4.0
631,A3TAS1AG6FMBQW,0972683275,5.0
1322,A1A5KUIIIHFF4U,1400501466,1.0
1335,A2XIOXRRYX0KZY,1400501466,3.0
1777,A18S2VGUH9SCV5,1400501776,4.0
1987,A1K4G5YJDJQI6Q,1400532620,1.0
2162,A5JLAU2ARJ0BO,1400532655,1.0
2437,A3HPCRD9RX351S,1400532655,3.0
3050,ALUNVOQRXOZIA,1400599997,1.0
3226,A2JXS1JII6SAUD,1400599997,5.0
3383,A3PD8JD9L4WEII,1400699169,5.0
3630,ABVYGB2TKBO8F,1685560148,5.0
4251,A1U5IJHJK84S54,7562434166,3.0
4330,A30X750M8V1XXW,787988002X,5.0
4331,A3QQGPI3CTV9SX,787988002X,5.0
4495,A1ZU55TM45Y2R8,8862936826,2.0
4614,A1VQHH85U7PX0,9043413585,3.0
5195,A36K2N527TXXJN,9800359788,5.0
5932,ADLVFFE4VBT8,9981719005,3.0
5999,A19HT7YC1UW3D6,9981739588,5.0
6072,A250AXLRBVYKB4,998376234X,1.0
6208,A1VHCO8RQFIGQJ,9983891212,4.0
6244,A3L6L5O89JTX2T,9983891212,5.0
6253,A1OGCPMSIVK7G4,9983891212,5.0
6268,A18HE80910BTZI,9983891212,5.0
7208,A1KY5G5FP31F2F,9989360391,5.0
7381,A2AEZQ3DGBBLPR,B000000O48,5.0
7448,A2R6RA8FRBS608,B000001OL6,4.0
7468,A26KXNN6H1IL0I,B000001OM4,5.0
7491,AVSMRPI23DQI2,B000001OM4,5.0
7606,ADOR3TR7GDF68,B000001OM5,1.0
7748,A680RUE1FDO8B,B000001OMI,5.0
7789,A11D1KHM7DVOQK,B000001OMN,2.0
7875,A8X8D4BUY5DFU,B000001ON0,4.0
7878,A3CG93783LP0FO,B000001ON0,5.0
7909,A2ZY49IDE6TY5I,B000001ON6,4.0
8106,AEJAGHLC675A7,B00000DM9M,5.0
8147,A1T1YSCDW0PD25,B00000DM9W,5.0
8252,ABVYGB2TKBO8F,B00000DM9W,5.0
8350,A3NCIN6TNL0MGA,B00000DM9W,5.0
8639,ARXU3FESTWMJJ,B00000IGBF,4.0
8680,AZ515FFZ7I2P7,B00000J040,4.0
8732,A6FIAB28IS79,B00000J05A,3.0
8979,A1RPTVW5VEOSI,B00000J061,5.0
8985,A3NCIN6TNL0MGA,B00000J061,5.0
9106,AEJAGHLC675A7,B00000J08C,5.0
9212,A3NEAETOSXDBOM,B00000J08Q,3.0
9220,ALUNVOQRXOZIA,B00000J0A2,4.0
9633,A2AEZQ3DGBBLPR,B00000J1E6,1.0
9776,A2R6RA8FRBS608,B00000J1EP,4.0
9805,A2HMF8ZR67BNZS,B00000J1EQ,5.0
9859,AZMY6E8B52L2T,B00000J1EQ,5.0
10099,A11D1KHM7DVOQK,B00000J1G6,1.0
10320,AFNG8O2DXRCUV,B00000J1QR,5.0
10394,AWPODHOB4GFWL,B00000J1QS,4.0
10463,ASCBJEPXTOU0V,B00000J1SC,5.0
10493,A2BYV7S1QP2YIG,B00000J1SC,4.0
10722,AKT8TGIT6VVZ5,B00000J1TX,5.0
10745,A2NYK9KWFMJV4Y,B00000J1TX,5.0
10902,A2NB2E5DXE319Z,B00000J1UB,5.0
10947,A87N6UTYA6NOB,B00000J1UQ,5.0
11018,A6FIAB28IS79,B00000J1UQ,5.0
11036,A231WM2Z2JL0U3,B00000J1US,5.0
11039,A2B7BUH8834Y6M,B00000J1UU,5.0
11053,A14JBDSWKPKTZA,B00000J1V1,5.0
11100,A3QNX5KWHDV0GD,B00000J1V3,5.0
11124,A1J75JJ0Q2OEJN,B00000J1V3,5.0
11182,A14JBDSWKPKTZA,B00000J1V5,5.0
11383,A3J8A5L5AF5TX9,B00000J1V5,5.0
11464,A2HRHF83I3NDGT,B00000J1V5,5.0
11540,A38QEATH3NODFM,B00000J3FU,5.0
