Cenário_da_violação;Frequência;Início_das_violações;Grupo_vulnerável;Relação_vítima_suspeito;Sexo_da_vítima;Faixa_etária_da_vítima;Deficiência_da_vítima;Município_da_vítima;Raça_Cor_da_vítima;Sexo_do_suspeito;Faixa_etária_do_suspeito;Raça_Cor_do_suspeito;violacao
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;TIO(A);FEMININO;12 ANOS;NÃO;3304557 | RIO DE JANEIRO;PRETA;MASCULINO;35 A 39 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;TIO(A);FEMININO;12 ANOS;NÃO;3304557 | RIO DE JANEIRO;PRETA;MASCULINO;35 A 39 ANOS;PRETA;INTEGRIDADE>FÍSICA>AGRESSÃO ou VIAS DE FATO
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;TIO(A);FEMININO;12 ANOS;NÃO;3304557 | RIO DE JANEIRO;PRETA;MASCULINO;35 A 39 ANOS;PRETA;INTEGRIDADE>FÍSICA>LESÃO CORPORAL
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;TIO(A);FEMININO;12 ANOS;NÃO;3304557 | RIO DE JANEIRO;PRETA;MASCULINO;35 A 39 ANOS;PRETA;INTEGRIDADE>FÍSICA>MAUS TRATOS
CASA DA VÍTIMA;OCASIONALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE;TIO(A);FEMININO;12 ANOS;NÃO;3304557 | RIO DE JANEIRO;PRETA;MASCULINO;35 A 39 ANOS;PRETA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;EX-COMPANHEIRO(A);FEMININO;45 A 49 ANOS;NÃO;3300704 | CABO FRIO;BRANCA;MASCULINO;45 A 49 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>INJÚRIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;EX-COMPANHEIRO(A);FEMININO;45 A 49 ANOS;NÃO;3300704 | CABO FRIO;BRANCA;MASCULINO;45 A 49 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;EX-COMPANHEIRO(A);FEMININO;45 A 49 ANOS;NÃO;3300704 | CABO FRIO;BRANCA;MASCULINO;45 A 49 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;EX-COMPANHEIRO(A);FEMININO;45 A 49 ANOS;NÃO;3300704 | CABO FRIO;BRANCA;MASCULINO;45 A 49 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;EX-COMPANHEIRO(A);FEMININO;45 A 49 ANOS;VISUAL;3300704 | CABO FRIO;BRANCA;MASCULINO;45 A 49 ANOS;PRETA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA ONDE RESIDE A VÍTIMA E O SUSPEITO;SEMANALMENTE;HÁ MAIS DE CINCO ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;ESPOSA(O);FEMININO;50 A 54 ANOS;NÃO;3304904 | SÃO GONÇALO;PRETA;MASCULINO;65 A 69 ANOS;PRETA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
