Month	Electricity
1980-1	9003
1980-2	8891
1980-3	8956
1980-4	9066
1980-5	9251
1980-6	9298
1980-7	9234
1980-8	9679
1980-9	9614
1980-10	9608
1980-11	9954
1980-12	9501
1981-1	10102
1981-2	9468
1981-3	9804
1981-4	9405
1981-5	9656
1981-6	9360
1981-7	9470
1981-8	9752
1981-9	9486
1981-10	9589
1981-11	9781
1981-12	9529
1982-1	9885
1982-2	9393
1982-3	9712
1982-4	10447
1982-5	9999
1982-6	10193
1982-7	10325
1982-8	10541
1982-9	10698
1982-10	10515
1982-11	10644
1982-12	10453
1983-1	10630
1983-2	10253
1983-3	10360
1983-4	11266
1983-5	10788
1983-6	11411
1983-7	10945
1983-8	11077
1983-9	11608
1983-10	11402
1983-11	11366
1983-12	11332
1984-1	11642
1984-2	11968
1984-3	12207
1984-4	11626
1984-5	12031
1984-6	12277
1984-7	12210
1984-8	12698
1984-9	12953
1984-10	12520
1984-11	13420
1984-12	12845
1985-1	13204
1985-2	13114
1985-3	13079
1985-4	13651
1985-5	13224
1985-6	13528
1985-7	12965
1985-8	13969
1985-9	13918
1985-10	14002
1985-11	14320
1985-12	14041
1986-1	14120
1986-2	13709
1986-3	13152
1986-4	13894
1986-5	14756
1986-6	14514
1986-7	14502
1986-8	15227
1986-9	15028
1986-10	15124
1986-11	15559
1986-12	14685
1987-1	15698
1987-2	14422
1987-3	14885
1987-4	14412
1987-5	14940
1987-6	14357
1987-7	14618
1987-8	15267
1987-9	15093
1987-10	15220
1987-11	15568
1987-12	15092
1988-1	15798
1988-2	15379
1988-3	15466
1988-4	16087
1988-5	15117
1988-6	15482
1988-7	15649
1988-8	15529
1988-9	16418
1988-10	16286
1988-11	15592
1988-12	15794
1989-1	15882
1989-2	16006
1989-3	15232
1989-4	16510
1989-5	15872
1989-6	16383
1989-7	16669
1989-8	16566
1989-9	17513
1989-10	16810
1989-11	17208
1989-12	16534
1990-1	16919
1990-2	16907
1990-3	16513
1990-4	16626
1990-5	15357
1990-6	16266
1990-7	16025
1990-8	16800
1990-9	17602
1990-10	16974
1990-11	17837
1990-12	16813
1991-1	16795
1991-2	16892
1991-3	16010
1991-4	16876
1991-5	17439
1991-6	17744
1991-7	17276
1991-8	18179
1991-9	18214
1991-10	17986
1991-11	18373
1991-12	17624
1992-1	17750
1992-2	17706
1992-3	17710
1992-4	17306
1992-5	17810
1992-6	17424
1992-7	17665
1992-8	18107
1992-9	17827
1992-10	17821
1992-11	18111
1992-12	17520
1993-1	18070
1993-2	17416
1993-3	17781
1993-4	19100
1993-5	18312
1993-6	18316
1993-7	18259
1993-8	18673
1993-9	18881
1993-10	18630
1993-11	18879
1993-12	18331
1994-1	18513
1994-2	18164
1994-3	18130
1994-4	19073
1994-5	18179
1994-6	18851
1994-7	18177
1994-8	18558
1994-9	19666
1994-10	19597
1994-11	19519
1994-12	19498
1995-1	20175
1995-2	19829
1995-3	20085
1995-4	20548
1995-5	19866
1995-6	19954
1995-7	20041
1995-8	20062
1995-9	21108
1995-10	20415
1995-11	21199
1995-12	20554
1996-1	20662
1996-2	21093
1996-3	21027
1996-4	21546
1996-5	21206
1996-6	21345
1996-7	20882
1996-8	22006
1996-9	21953
1996-10	21946
1996-11	22087
1996-12	21858
1997-1	22566
1997-2	22332
1997-3	21818
1997-4	22306
1997-5	22698
1997-6	22255
1997-7	22442
1997-8	23110
1997-9	23161
1997-10	23614
1997-11	23954
1997-12	23025
1998-1	23920
1998-2	23065
1998-3	23083
1998-4	24178
1998-5	23830
1998-6	22952
1998-7	23265
1998-8	24082
1998-9	24266
1998-10	24181
1998-11	24058
1998-12	23645
1999-1	23901
1999-2	23370
1999-3	23815
1999-4	25247
1999-5	23882
1999-6	24065
1999-7	24028
1999-8	24490
1999-9	24886
1999-10	24705
1999-11	24958
1999-12	24843
2000-1	25060
2000-2	25057
2000-3	25662
2000-4	25598
2000-5	25448
2000-6	25445
2000-7	25287
2000-8	25470
2000-9	25777
2000-10	26313
2000-11	26579
2000-12	25834
