id	year	y	alav	roa	folga	bnp	finep	exp	ener	bndesdummyl1	roe	logporte	ti	LL	lucrativ	alavl1	roal1	folgal1	bnpl1	finepl1	expl2	folgacpl1	roel1	lucrativl1	bndesdummy
ABEV3 BZ Equity	2006							1																	
ABEV3 BZ Equity	2007		0.277716	0.079389639	0.32278735	0.019989937	0	1			0.143978995	10.24584953		2816.407	0.159899049										1
ABEV3 BZ Equity	2008	0.001849481	0.254893	0.122428513	0.455705706	0.004564182	0	1	0	1	0.159957006	10.29332321	0	5119.1	0.260537596	0.277716011	0.079389639	0.322787344	0.019989938	0	1	-26907000	0.143978998	0.159899056	1
ABEV3 BZ Equity	2009	0.002432838	0.181074	0.149274269	0.649387614	0.034200382	0	1	0	1	0.243632356	10.3162468	0	5986.05	0.288997137	0.254893005	0.122428514	0.455705702	0.004564181	0	1	-605718016	0.159957007	0.260537595	1
ABEV3 BZ Equity	2010	0.002458542	0.158663	0.177171607	0.797195245	0.020327661	0	1	0	1	0.268479557	10.36537655	0	7561.383	0.326005318	0.181073993	0.149274275	0.649387598	0.034200381	0	1	-1243718016	0.243632361	0.288997144	1
ABEV3 BZ Equity	2011	0.002740197	0.089177	0.187279692	0.742387418	0	0	1	0	1	0.307813215	10.40197422	0	8640.976	0.342443223	0.158663005	0.177171603	0.797195256	0.020327661	0	1	1811506944	0.268479556	0.32600531	0
ABEV3 BZ Equity	2012	0.00367742	0.050844	0.102328915	0.572230392	0.015025583	0	1	0	0	0.334547518	10.43339727	0	6327.291	0.233249403	0.089176998	0.187279686	0.742387414	0	0	1	2356090880	0.307813227	0.342443228	1
ABEV3 BZ Equity	2013	0.002775303	0.042062	0.138341161	0.745872532	0	1	1	0	1	0.169773574	10.50827414	0	9557.324	0.296525581	0.050843999	0.102328911	0.572230399	0.015025583	0	1	271527008	0.33454752	0.233249396	0
ABEV3 BZ Equity	2014	0.00234988	0.037727	0.167243919	0.881062981	0	0	1	0	0	0.216108308	10.54504853	0	12065.512	0.343951515	0.042061999	0.138341159	0.745872557	0	1	1	778625024	0.169773579	0.296525568	0
ABEV3 BZ Equity	2015	0.002470789	0.039944	0.137772121	0.701023073	0	0	1	0	0	0.2764487	10.5806945	0	12423.771	0.326256324	0.037726998	0.167243913	0.881062984	0	0	1	3456427008	0.216108307	0.343951523	0
AELP3 BZ Equity	2006							0																	
AELP3 BZ Equity	2007		0.142965	0.014302658	0.131547295	0	0	0			0.026324108	9.924738516		188.744	0.022445777										0
AELP3 BZ Equity	2008	0.010359928	0.143311	0.034268795	0.330442803	0	0	0	1	0	0.050917598	9.856931313	0	464.945	0.064635374	0.142965004	0.014302658	0.131547302	0	0	0	516833984	0.026324108	0.022445777	0
AELP3 BZ Equity	2009	0.009338764	0.200752	0.027551093	0.391600238	0	0	0	1	0	0.125932416	9.881318281	0	335.01	0.044029068	0.143310994	0.034268796	0.330442816	0	0	0	757521984	0.050917599	0.064635374	0
AELP3 BZ Equity	2010	0.007469818	0.235362	0.032269536	0.56012264	0	0	0	1	0	0.073228614	9.948144628	0	376.136	0.042383837	0.200752005	0.027551094	0.391600251	0	0	0	214363008	0.12593241	0.044029068	0
AELP3 BZ Equity	2011	0.011939207	0.216311	0.037862066	0.474767158	0	0	0	1	0	0.080897065	9.986644427	0	436.885	0.045052895	0.235361993	0.032269537	0.560122669	0	0	0	200174992	0.073228613	0.042383838	0
AELP3 BZ Equity	2012	0.007423088	0.232894	-0.003911772	0.358966744	0	0	0	1	0	0.090935923	9.992799887	0	-47.067	-0.004785382	0.216310993	0.037862066	0.474767148	0	0	0	786916992	0.080897063	0.045052897	0
AELP3 BZ Equity	2013	0.006284476	0.241418	0.001209457	0.071294358	0	0	0	1	0	-0.01937841	9.998224367	0	13.766	0.00138224	0.232894003	-0.003911772	0.358966738	0	0	0	500474016	0.090935923	-0.004785382	0
AELP3 BZ Equity	2014	0.00528565	0.251148	-0.007207936	0.030802613	8.17569E-11	0	0	1	0	0.003916663	9.954831158	0	-88.163	-0.00978262	0.241418004	0.001209457	0.07129436	0	0	0	534000992	-0.019378411	0.00138224	1
