id	year	y	alav	roa	folga	bnp	finep	exp	ener	bndesdummy	roe	logporte	ti	LL	lucrativ	
ABEV3 BZ Equity	2006							1								
ABEV3 BZ Equity	2007		0.277716	0.079389639	0.32278735	0.019989937	0	1		1	0.143978995	10.24584953		2816.407	0.159899049	
ABEV3 BZ Equity	2008	2	0.254893	0.122428513	0.455705706	0.004564182	0	1	0	1	0.159957006	10.29332321	0	5119.1	0.260537596	
ABEV3 BZ Equity	2009	2	0.181074	0.149274269	0.649387614	0.034200382	0	1	0	1	0.243632356	10.3162468	0	5986.05	0.288997137	
ABEV3 BZ Equity	2010	2	0.158663	0.177171607	0.797195245	0.020327661	0	1	0	1	0.268479557	10.36537655	0	7561.383	0.326005318	
ABEV3 BZ Equity	2011	2	0.089177	0.187279692	0.742387418	0	0	1	0	0	0.307813215	10.40197422	0	8640.976	0.342443223	
ABEV3 BZ Equity	2012	2	0.050844	0.102328915	0.572230392	0.015025583	0	1	0	1	0.334547518	10.43339727	0	6327.291	0.233249403	
ABEV3 BZ Equity	2013	2	0.042062	0.138341161	0.745872532	0	1	1	0	0	0.169773574	10.50827414	0	9557.324	0.296525581	
ABEV3 BZ Equity	2014	2	0.037727	0.167243919	0.881062981	0	0	1	0	0	0.216108308	10.54504853	0	12065.512	0.343951515	
ABEV3 BZ Equity	2015	2	0.039944	0.137772121	0.701023073	0	0	1	0	0	0.2764487	10.5806945	0	12423.771	0.326256324	
AELP3 BZ Equity	2006							0								
AELP3 BZ Equity	2007		0.142965	0.014302658	0.131547295	0	0	0		0	0.026324108	9.924738516		188.744	0.022445777	
AELP3 BZ Equity	2008	3	0.143311	0.034268795	0.330442803	0	0	0	1	0	0.050917598	9.856931313	0	464.945	0.064635374	
AELP3 BZ Equity	2009	3	0.200752	0.027551093	0.391600238	0	0	0	1	0	0.125932416	9.881318281	0	335.01	0.044029068	
AELP3 BZ Equity	2010	3	0.235362	0.032269536	0.56012264	0	0	0	1	0	0.073228614	9.948144628	0	376.136	0.042383837	
AELP3 BZ Equity	2011	3	0.216311	0.037862066	0.474767158	0	0	0	1	0	0.080897065	9.986644427	0	436.885	0.045052895	
AELP3 BZ Equity	2012	3	0.232894	-0.003911772	0.358966744	0	0	0	1	0	0.090935923	9.992799887	0	-47.067	-0.004785382	
AELP3 BZ Equity	2013	3	0.241418	0.001209457	0.071294358	0	0	0	1	0	-0.01937841	9.998224367	0	13.766	0.00138224	
AELP3 BZ Equity	2014	3	0.251148	-0.007207936	0.030802613	8.17569E-11	0	0	1	1	0.003916663	9.954831158	0	-88.163	-0.00978262	
AELP3 BZ Equity	2015	3	0.259698	-0.001119663	0.006267079	7.20875E-11	0	0	1	1	-0.027650462	10.0251672	0	-15.532	-0.001465751	
AFLT3 BZ Equity	2006							0								
AFLT3 BZ Equity	2007					0	0	0		1						
AFLT3 BZ Equity	2008					0	0	0	1	0			0			
AFLT3 BZ Equity	2009					0	0	0	1	0			0			
AFLT3 BZ Equity	2010	4		0.223907646	2.851200192	0	0	0	1	0			0	19.027		
AFLT3 BZ Equity	2011	4	0.045884	0.228521446	2.421190697	0	0	0	1	0	0.249223918	7.502085559	0	21.162	0.665995279	
AFLT3 BZ Equity	2012	3	0.042892	0.189797232	4.035318793	0	0	0	1	0	0.260432947	7.653617666	0	17.691	0.392766751	
AFLT3 BZ Equity	2013	2	0.041629	0.233097131	3.237978005	0	0	0	1	0	0.222059045	7.450895449	0	19.441	0.688371928	
AFLT3 BZ Equity	2014	3	0.05438	0.178548445	2.782872791	1.19175E-08	0	0	1	1	0.250841903	7.545641061	0	14.982	0.426509523	
AFLT3 BZ Equity	2015	4	0.045159	0.141349833	3.289054759	1.11889E-08	0	0	1	1	0.195459883	7.539615494	0	12.633	0.364662414	
AFLU3 BZ Equity	2006							0								
AFLU3 BZ Equity	2007			0.265104925	0.990658174	0	0	0		1	0.348152407	7.63223452		30.951	0.721838705	
AFLU3 BZ Equity	2008	4		0.306346676	1.160322524	0	0	0	1	0	0.318383344	7.602439833	0	35.55	0.887973024	
AFLU3 BZ Equity	2009	3		0.590020386	1.819142722	0	0	0	1	0	0.359127185	7.660523977	0	30.389	0.664037235	
AFLU3 BZ Equity	2010	4		0.14695312	0.713532944	0	0	0	1	0	0.768699567	7.726719061	0	7.401	0.13885814	
AFLU3 BZ Equity	2011	4		0.150841791	0.967100787	0	0	0	1	0	0.181437082	7.309118932	0	7.535	0.369797801	
AFLU3 BZ Equity	2012	4		0.214865906	1.158482023	0	0	0	1	0	0.177922078	7.316662148	0	10.872	0.524381421	
AFLU3 BZ Equity	2013	2		0.173274809	1.014667848	0	0	0	1	0	0.24071737	7.371437317	0	8.369	0.35582483	
AFLU3 BZ Equity	2014	3		0.066748601	0.597608529	2.119E-08	0	0	1	1	0.192940797	7.46544234	0	3.15	0.107861937	
AFLU3 BZ Equity	2015	3		0.061935776	0.534220622	2.06109E-08	0	0	1	1	0.079825651	7.404936294	0	3.005	0.118279147	
ALPA4 BZ Equity	2006							1								
ALPA4 BZ Equity	2007		0.127409	0.089831461	0.486247567	0	0	1		1	0.167140119	9.133042699		120.213	0.088492963	
ALPA4 BZ Equity	2008	3	0.205354	0.096307439	0.51135174	0	0	1	0	0	0.136538809	9.110440543	0	173.181	0.134294956	
ALPA4 BZ Equity	2009	3	0.108926	0.069862171	0.429280662	0	0	1	0	0	0.169634785	9.219791409	0	125.872	0.075881817	
ALPA4 BZ Equity	2010	3	0.131737	0.136357425	0.592734903	0	0	1	0	0	0.111393911	9.284886447	0	306.341	0.158971283	
ALPA4 BZ Equity	2011	3	0.098048	0.127657154	0.593997393	0	0	1	0	0	0.227243628	9.350084352	0	307.42	0.137292801	
ALPA4 BZ Equity	2012	3	0.109031	0.102156397	0.531901364	0	0	1	0	0	0.206341674	9.410726633	0	279.983	0.108743931	
ALPA4 BZ Equity	2013	3	0.165627	0.09221073	0.523764175	0.025379954	0	1	0	1	0.168573266	9.478130828	0	310.011	0.103097059	
ALPA4 BZ Equity	2014	3	0.140799	0.076740621	0.490540399	0	0	1	0	0	0.168993884	9.534782161	0	280.151	0.081773016	
ALPA4 BZ Equity	2015	3	0.178742	0.07235716	0.606880492	0	0	1	0	0	0.133347835	9.548761388	0	272.314	0.076967713	
ALTS3 BZ Equity	2006							1								
ALTS3 BZ Equity	2007					0	0	1		0						
ALTS3 BZ Equity	2008					0	0	1	0	0			1			
ALTS3 BZ Equity	2009					0	0	1	0	0			1			
ALTS3 BZ Equity	2010		0.480875	-0.006592969	0.379493681	0.487368212	0	1	0	1			1	-0.464		
ALTS3 BZ Equity	2011		0.388034	0.016876964	0.129527339	0	0	1	0	0	-0.023934798	7.758911892	1	2.223	0.038728223	
ALTS3 BZ Equity	2012	4	0.363365	-0.002346354	0.262173709	0	1	1	0	0	0.105480427	7.933548024	1	-0.352	-0.00410199	
ALTS3 BZ Equity	2013	4	0.352381	-0.018013678	0.222082742	0	0	1	0	0	-0.017058396	7.982795689	1	-3.403	-0.035405135	
ALTS3 BZ Equity	2014	4	0.290276	-0.002995492	0.107319719	0	0	1	0	0	-0.187008848	7.961942883	1	-0.606	-0.006614998	
ALTS3 BZ Equity	2015	4	0.297585	-0.070023217	-0.227145851	0	0	1	0	0	-0.033713491	7.998054352	1	-14.115	-0.141783773	
ALUP11 BZ Equity	2006							0								
ALUP11 BZ Equity	2007					0	0	0		1						
ALUP11 BZ Equity	2008					0	0	0	0	0			1			
ALUP11 BZ Equity	2009	3	0.436303	0.029559733	1.109197574	0	0	0	0	0			1	147.419		
ALUP11 BZ Equity	2010	3	0.439596	0.035647759	1.265168259	0	0	0	0	0	0.063339005	9.079399786	1	192.481	0.160320139	
ALUP11 BZ Equity	2011	3	0.442252	0.029720049	0.968178851	0	0	0	0	0	0.080479479	8.971151018	1	190.527	0.203613004	
ALUP11 BZ Equity	2012	4	0.45383	0.030173384	1.084189262	0	0	0	0	0	0.067723164	9.084091671	1	220.408	0.181608296	
ALUP11 BZ Equity	2013	4	0.392706	0.034670529	1.326929953	0.004846977	0	0	0	1	0.071694558	9.079624001	1	289.851	0.241296378	
ALUP11 BZ Equity	2014	4	0.445448	0.040633742	1.939775912	0	0	0	0	0	0.070658382	9.110869387	1	362.785	0.281047635	
ALUP11 BZ Equity	2015	4	0.462297	0.020892533	0.836844777	0	0	0	0	0	0.093542057	9.167181412	1	209.169	0.142336377	
ARZZ3 BZ Equity	2006							1								
ARZZ3 BZ Equity	2007					0	0	1		1						
ARZZ3 BZ Equity	2008		0.298922	0.108587934	0.308882181	0	0	1	0	0			0	22.331		
ARZZ3 BZ Equity	2009	4	0.165183	0.204762485	0.616983092	0	0	1	0	0	0.261266848	8.564751258	0	48.739	0.132777766	
ARZZ3 BZ Equity	2010	4	0.17441	0.240658423	0.695888933	0	0	1	0	0	0.407748553	8.61496362	0	64.534	0.156611974	
ARZZ3 BZ Equity	2011	4	0.075709	0.17941241	0.769775623	0	0	1	0	0	0.44135469	8.757035232	0	91.613	0.1602957	
ARZZ3 BZ Equity	2012	4	0.147793	0.152176201	0.671255563	0	0	1	0	0	0.238546324	8.831810287	0	96.874	0.14269112	
ARZZ3 BZ Equity	2013	4	0.139825	0.157068249	0.698889133	0	0	1	0	0	0.213426335	8.934667591	0	110.555	0.128502269	
ARZZ3 BZ Equity	2014	4	0.124807	0.141557723	0.687011629	0	0	1	0	0	0.214860983	8.983603738	0	112.752	0.117090192	
ARZZ3 BZ Equity	2015	4	0.144216	0.140129141	0.720645499	0	0	1	0	0	0.195650476	9.022390838	0	119.663	0.113649898	
BALM4 BZ Equity	2006							1								
BALM4 BZ Equity	2007		0.102123	0.034482759	0.399353782	0.133679478	0	1		1	0.189327	7.813621014		1.833	0.028154087	
BALM4 BZ Equity	2008	4	0.067889	0.066685652	0.472793448	0	0	1	0	0	0.060789971	7.814933133	1	4.215	0.064545274	
BALM4 BZ Equity	2009	4	0.051057	0.030609224	0.411936847	0	0	1	0	0	0.111381233	7.869554386	1	2.378	0.032111269	
BALM4 BZ Equity	2010	4	0.052687	0.053323324	0.50575381	0.082612462	0	1	0	1	0.055396371	7.930449789	1	4.617	0.054188869	
BALM4 BZ Equity	2011	4	0.051229	0.078398335	0.567448459	0	0	1	0	0	0.099689079	7.976863308	1	6.933	0.073123655	
