Ano	AE (R$)	Custeio (R$)	Investimentos (R$)	Pessoal (R$)	Matrículas	Concluintes
2007	13948000	135660093	781773	1266586160	28328	4647
2008	9762100	143909914	458401	1380440734	29132	4052
2009	11396401	173428576	7942825	1313989076	34709	4909
2010	14904993	233757080	16050510	1456874168	36029	4324
2011	17627814	322621350	21791267	1597009626	36599	4681
2012	30114405	355908448	34884667	1666580874	36977	4536
2013	38366510	381452324	40272523	1879769127	39211	4277
2014	38001141	404207911	30416645	2142668958	39887	5168
2015	38670993	417690495	13927445	2301605423	39610	5114
2016	41001567	498410266	10427780	2473444672	38780	5173
2017	49292683	490050669	5910206	2666945155	41992	5103
2018	46758161	475798642	8090696	2732640917	42016	5114
2019	36335162	440892773	3186993	2845006751	42391	4985
