date	val
jan/99	36403
fev/99	39474
mar/99	40583
abr/99	39499
mai/99	38703
jun/99	39116
jul/99	39139
ago/99	39631
set/99	40219
out/99	39694
nov/99	39655
dez/99	40125
jan/00	40156
fev/00	41593
mar/00	41353
abr/00	41012
mai/00	40963
jun/00	40481
jul/00	39424
ago/00	40439
set/00	40999
out/00	42831
nov/00	41914
dez/00	41007
jan/01	42539
fev/01	44150
mar/01	44346
abr/01	42755
mai/01	39515
jun/01	33207
jul/01	32998
ago/01	33371
set/01	33079
out/01	34721
nov/01	34978
dez/01	34957
jan/02	36244
fev/02	37898
mar/02	40194
abr/02	40899
mai/02	39386
jun/02	39036
jul/02	38964
ago/02	40098
set/02	39832
out/02	42544
nov/02	41945
dez/02	41257
jan/03	41803
fev/03	43847
mar/03	42361
abr/03	42097
mai/03	40975
jun/03	40768
jul/03	40825
ago/03	40893
set/03	42166
out/03	43057
nov/03	43283
dez/03	43056
jan/04	42611
fev/04	43320
mar/04	44666
abr/04	44386
mai/04	43419
jun/04	43391
jul/04	43373
ago/04	44163
set/04	45563
out/04	44738
nov/04	45411
dez/04	45148
jan/05	45967
fev/05	46846
mar/05	47829
abr/05	47146
mai/05	45067
jun/05	45151
jul/05	44133
ago/05	45840
set/05	45727
out/05	46728
nov/05	46470
dez/05	46331
jan/06	48137
fev/06	49118
mar/06	50293
abr/06	47376
mai/06	46336
jun/06	46382
jul/06	46472
ago/06	48022
set/06	47328
out/06	47918
nov/06	48587
dez/06	48706
jan/07	49652
fev/07	50371
mar/07	52362
abr/07	50437
mai/07	48870
jun/07	48695
jul/07	49197
ago/07	50516
set/07	50111
out/07	51536
nov/07	50937
dez/07	50935
jan/08	51351
fev/08	52095
mar/08	52461
abr/08	52347
mai/08	50842
jun/08	51853
jul/08	50630
ago/08	51928
set/08	51780
out/08	53210
nov/08	51173
dez/08	48455
jan/09	49257
fev/09	51792
mar/09	53454
abr/09	50221
mai/09	49215
jun/09	48741
jul/09	49840
ago/09	50236
set/09	51746
out/09	51960
nov/09	54391
dez/09	53172
jan/10	54647
fev/10	57438
mar/10	57244
abr/10	53897
mai/10	53057
jun/10	52780
jul/10	53704
ago/10	54072
set/10	55181
out/10	54490
nov/10	55162
dez/10	56077
jan/11	56971
fev/11	59589
mar/11	57421
abr/11	56663
mai/11	54952
jun/11	54908
jul/11	55416
ago/11	57505
set/11	57105
out/11	56610
nov/11	57214
dez/11	57941
jan/12	58415
fev/12	61851
mar/12	62647
abr/12	59814
mai/12	57186
jun/12	56403
jul/12	55941
ago/12	57614
set/12	58354
out/12	60047
nov/12	58577
dez/12	60761
jan/13	60275
fev/13	63038
mar/13	61994
abr/13	60314
mai/13	58278
jun/13	57731
jul/13	58442
ago/13	60034
set/13	60904
out/13	61878
nov/13	62179
dez/13	62090
jan/14	67017
fev/14	69349
mar/14	65350
abr/14	62938
mai/14	60165
jun/14	58579
jul/14	58718
ago/14	59208
set/14	61503
out/14	62858
nov/14	62419
dez/14	62067
jan/15	69360
fev/15	67874
mar/15	66989
abr/15	64492
mai/15	62013
jun/15	61269
jul/15	61221
ago/15	62159
set/15	64022
out/15	65896
nov/15	65396
dez/15	64884
jan/16	64169
fev/16	68247
mar/16	67204
abr/16	68147
mai/16	62783
jun/16	62255
jul/16	61952
ago/16	63225
set/16	63643
out/16	64132
nov/16	64910
dez/16	65081
jan/17	68272
fev/17	69911
mar/17	68996
abr/17	64584
mai/17	63877
jun/17	63011
jul/17	61139
ago/17	62983
set/17	64949
out/17	66107
nov/17	65718
dez/17	66564
jan/18	68560
fev/18	68467
mar/18	70662
abr/18	67476
mai/18	63788
jun/18	63519
jul/18	63464
ago/18	64334
set/18	64755
out/18	67035
nov/18	67417
dez/18	67792
jan/19	73047
fev/19	71732
mar/19	69106
abr/19	68663
mai/19	66929
jun/19	64008
jul/19	63107
ago/19	64009
set/19	66661
out/19	69351
nov/19	68862
dez/19	67955
jan/20	70625
fev/20	71241
mar/20	68584
abr/20	60715
mai/20	59992
jun/20	61704
jul/20	63623
ago/20	64721
set/20	69271
out/20	70545
nov/20	67858
dez/20	69682
jan/21	71461
fev/21	72043
mar/21	72652
abr/21	68847
mai/21	67623
jun/21	66327
jul/21	64830
ago/21	66317
set/21	68921
out/21	67736
nov/21	69408
dez/21	70384
