date,val,type
1999-1,34819.9,Hidreletrica
1999-1,1024.5,Termica
1999-1,558.6,Nuclear
1999-2,37673.5,Hidreletrica
1999-2,1251.8,Termica
1999-2,548.5,Nuclear
1999-3,38804.2,Hidreletrica
1999-3,1250.9,Termica
1999-3,527.7,Nuclear
1999-4,37773.1,Hidreletrica
1999-4,1260.7,Termica
1999-4,465,Nuclear
1999-5,36898.1,Hidreletrica
1999-5,1361,Termica
1999-5,444.2,Nuclear
1999-6,37345.3,Hidreletrica
1999-6,1490.8,Termica
1999-6,279.9,Nuclear
1999-7,37807.1,Hidreletrica
1999-7,1083.2,Termica
1999-7,248.3,Nuclear
1999-8,37860.8,Hidreletrica
1999-8,1366.6,Termica
1999-8,403.7,Nuclear
1999-9,38300.2,Hidreletrica
1999-9,1489.2,Termica
1999-9,429.3,Nuclear
1999-10,37662.6,Hidreletrica
1999-10,1593.7,Termica
1999-10,437.8,Nuclear
1999-11,37492.6,Hidreletrica
1999-11,1722.1,Termica
1999-11,440.3,Nuclear
1999-12,37622.9,Hidreletrica
1999-12,1995.2,Termica
1999-12,506.8,Nuclear
2000-1,37631.8,Hidreletrica
2000-1,1961.9,Termica
2000-1,561.9,Nuclear
2000-2,39006.4,Hidreletrica
2000-2,2011.5,Termica
2000-2,574.8,Nuclear
2000-3,39075.4,Hidreletrica
2000-3,1739.9,Termica
2000-3,537.9,Nuclear
2000-4,39041,Hidreletrica
2000-4,1472.2,Termica
2000-4,498.5,Nuclear
2000-5,39142.9,Hidreletrica
2000-5,1820,Termica
2000-5,0,Nuclear
2000-6,38496.3,Hidreletrica
2000-6,1984.8,Termica
2000-6,0,Nuclear
2000-7,37579.4,Hidreletrica
2000-7,1753,Termica
2000-7,91.2,Nuclear
2000-8,37748.2,Hidreletrica
2000-8,1786.6,Termica
2000-8,903.8,Nuclear
2000-9,38514,Hidreletrica
2000-9,1085,Nuclear
2000-9,1400.2,Termica
2000-10,40776.3,Hidreletrica
2000-10,733,Nuclear
2000-10,1321.5,Termica
2000-11,38732.8,Hidreletrica
2000-11,1566.5,Nuclear
