DATE	M3	PRICE
25/02/2021	5	3.24
22/01/2021	5	2.69
21/12/2020	15	2.62
09/12/2020	15	2.63
18/09/2020	5	2.3
17/09/2020	5	2.28
15/09/2020	5	2.259
14/09/2020	5	2.265
26/08/2020	5	2.29
19/08/2020	5	2.18
19/08/2020	5	2.18
13/08/2020	5	2.15
12/08/2020	5	2.14
06/08/2020	5	2.18
29/07/2020	5	2.15
27/07/2020	5	2.13
22/07/2020	5	2.098
21/07/2020	5	2.09
15/07/2020	5	2.08
08/07/2020	5	2.08
07/07/2020	5	2.08
30/06/2020	5	2.1
24/06/2020	5	2.09
22/06/2020	5	2.09
17/06/2020	5	2.1
16/06/2020	5	2.12
08/06/2020	5	2.05
03/06/2020	5	2.03
01/06/2020	5	2
27/05/2020	5	1.97
18/05/2020	5	1.83
13/05/2020	5	1.8
08/05/2020	5	1.82
07/05/2020	5	1.81
06/05/2020	3	1.82
29/04/2020	5	1.78
13/04/2020	5	1.94
06/04/2020	10	1.85
31/03/2020	5	1.8
18/03/2020	10	2.34
12/03/2020	10	2.53
09/03/2020	5	2.6
05/03/2020	5	2.65
04/03/2020	5	2.675
02/03/2020	5	2.69
26/02/2020	10	2.69
19/02/2020	5	2.68
17/02/2020	10	2.66
12/02/2020	5	2.65
11/02/2020	10	2.65
05/02/2020	5	2.65
03/02/2020	5	2.65
30/01/2020	5	2.64
28/01/2020	5	2.63
27/01/2020	5	2.62
23/01/2020	5	2.62
20/01/2020	5	2.63
15/01/2020	5	2.67
14/01/2020	5	2.65
13/01/2020	5	2.65
08/01/2020	5	2.66
06/01/2020	5	2.64
02/01/2020	5	2.62
27/12/2019	5	2.59
23/12/2019	10	2.58
19/12/2019	5	2.56
17/12/2019	5	2.56
13/12/2019	5	2.56
12/12/2019	5	2.56
11/12/2019	5	2.56
06/12/2019	10	2.57
02/12/2019	5	2.55
26/11/2019	5	2.48
26/11/2019	5	2.48
22/11/2019	5	2.465
21/11/2019	5	2.45
19/11/2019	5	2.435
14/11/2019	5	2.43
13/11/2019	10	2.43
07/11/2019	10	2.41
29/10/2019	5	2.36
29/10/2019	5	2.36
24/10/2019	5	2.36
23/10/2019	5	2.36
22/10/2019	5	2.34
21/10/2019	5	2.32
16/10/2019	5	2.335
10/10/2019	5	2.33
09/10/2019	10	2.33
03/10/2019	5	2.275
02/10/2019	5	2.26
24/09/2019	5	2.26
24/09/2019	5	2.26
18/09/2019	5	2.26
17/09/2019	10	2.27
12/09/2019	10	2.21
03/09/2019	5	2.25
02/09/2019	5	2.23
30/08/2019	10	2.2
22/08/2019	10	2.24
14/08/2019	10	2.3
14/08/2019	5	2.3
06/08/2019	5	2.26
02/08/2019	5	2.26
26/07/2019	5	2.26
26/07/2019	10	2.26
15/07/2019	10	2.16
15/07/2019	5	2.16
15/07/2019	5	2.16
11/07/2019	5	2.17
26/06/2019	20	2.11
26/06/2019	20	2.11
26/06/2019	20	2.11
12/06/2019	5	2.15
12/06/2019	10	2.15
12/06/2019	5	2.15
12/06/2019	10	2.15
11/06/2019	5	2.16
29/05/2019	10	2.13
29/05/2019	5	2.13
29/05/2019	5	2.13
29/05/2019	5	2.13
15/05/2019	5	2.31
13/05/2019	5	2.23
13/05/2019	10	2.23
13/05/2019	5	2.23
13/05/2019	5	2.23
13/05/2019	5	2.23
10/05/2019	5	2.19
07/05/2019	5	2.19
03/05/2019	5	2.26
02/05/2019	5	2.29
29/04/2019	5	2.32
22/04/2019	5	2.74
16/04/2019	5	2.62
05/04/2019	5	2.27
05/04/2019	5	2.27
02/04/2019	10	2.17
02/04/2019	5	2.17
29/03/2019	5	2.18
27/03/2019	5	2.25
22/03/2019	5	2.33
20/03/2019	5	2.38
18/03/2019	5	2.45
15/03/2019	5	2.46
08/03/2019	10	2.39
01/03/2019	5	2.38
26/02/2019	5	2.4
19/02/2019	5	2.27
15/02/2019	5	2.24
13/02/2019	5	2.21
12/02/2019	10	2.21
12/02/2019	5	2.21
07/02/2019	5	2.13
04/02/2019	10	2.08
01/02/2019	5	2.05
31/01/2019	5	2.08
28/01/2019	5	2.09
21/01/2019	10	2.13
14/01/2019	10	2.19
08/01/2019	10	2.25
