t	Year	Month	Date	Hour	Day	Holidays	Flow_1	Flow_2
0	2013	1	1	0 	3	1	619	591
1	2013	1	1	1 	3	1	1459	1143
2	2013	1	1	2 	3	1	1808	1142
3	2013	1	1	3 	3	1	1568	848
4	2013	1	1	4 	3	1	1326	633
5	2013	1	1	5 	3	1	914	588
6	2013	1	1	6 	3	1	1083	847
7	2013	1	1	7 	3	1	1225	997
8	2013	1	1	8 	3	1	1183	1171
9	2013	1	1	9 	3	1	1197	1313
10	2013	1	1	10	3	1	1612	1706
11	2013	1	1	11	3	1	2081	2210
12	2013	1	1	12	3	1	2564	2676
13	2013	1	1	13	3	1	2773	2930
14	2013	1	1	14	3	1	2501	2834
15	2013	1	1	15	3	1	2419	2912
16	2013	1	1	16	3	1	2653	2906
17	2013	1	1	17	3	1	3227	2790
18	2013	1	1	18	3	1	3320	2718
19	2013	1	1	19	3	1	3562	2853
20	2013	1	1	20	3	1	3195	2704
21	2013	1	1	21	3	1	3287	2489
22	2013	1	1	22	3	1	2340	2027
23	2013	1	1	23	3	1	1243	1382
24	2013	1	2	0 	4	0	703	874
25	2013	1	2	1 	4	0	353	602
26	2013	1	2	2 	4	0	202	448
27	2013	1	2	3 	4	0	200	312
28	2013	1	2	4 	4	0	497	382
29	2013	1	2	5 	4	0	1395	1167
30	2013	1	2	6 	4	0	3173	2494
31	2013	1	2	7 	4	0	4179	3365
32	2013	1	2	8 	4	0	4046	3183
33	2013	1	2	9 	4	0	3883	2944
34	2013	1	2	10	4	0	4173	3070
35	2013	1	2	11	4	0	3361	3144
36	2013	1	2	12	4	0	3241	3068
37	2013	1	2	13	4	0	3047	3373
38	2013	1	2	14	4	0	3244	3519
39	2013	1	2	15	4	0	3436	3627
40	2013	1	2	16	4	0	3309	3851
41	2013	1	2	17	4	0	3765	4362
42	2013	1	2	18	4	0	3908	4657
43	2013	1	2	19	4	0	3242	3823
44	2013	1	2	20	4	0	2629	2993
45	2013	1	2	21	4	0	1929	2538
46	2013	1	2	22	4	0	1689	1936
47	2013	1	2	23	4	0	1040	1324
48	2013	1	3	0 	5	0	633	736
49	2013	1	3	1 	5	0	322	388
50	2013	1	3	2 	5	0	232	229
51	2013	1	3	3 	5	0	229	180
52	2013	1	3	4 	5	0	363	331
53	2013	1	3	5 	5	0	1239	981
54	2013	1	3	6 	5	0	3247	2257
55	2013	1	3	7 	5	0	4165	3313
56	2013	1	3	8 	5	0	4069	3199
57	2013	1	3	9 	5	0	3923	2730
58	2013	1	3	10	5	0	3302	2826
59	2013	1	3	11	5	0	3467	2652
60	2013	1	3	12	5	0	3224	2860
61	2013	1	3	13	5	0	3121	3169
62	2013	1	3	14	5	0	2840	3136
63	2013	1	3	15	5	0	3084	3189
64	2013	1	3	16	5	0	2736	3628
65	2013	1	3	17	5	0	3300	4184
66	2013	1	3	18	5	0	4025	4392
67	2013	1	3	19	5	0	2989	3936
68	2013	1	3	20	5	0	2172	2866
69	2013	1	3	21	5	0	1700	2184
70	2013	1	3	22	5	0	1529	1636
71	2013	1	3	23	5	0	948	1279
72	2013	1	4	0 	6	0	537	738
73	2013	1	4	1 	6	0	397	411
74	2013	1	4	2 	6	0	217	192
75	2013	1	4	3 	6	0	306	182
76	2013	1	4	4 	6	0	509	345
77	2013	1	4	5 	6	0	1190	1046
78	2013	1	4	6 	6	0	2960	2296
79	2013	1	4	7 	6	0	3624	3227
80	2013	1	4	8 	6	0	4625	3406
81	2013	1	4	9 	6	0	4130	2990
82	2013	1	4	10	6	0	3999	3142
83	2013	1	4	11	6	0	3736	3187
84	2013	1	4	12	6	0	3438	3151
85	2013	1	4	13	6	0	3485	3670
86	2013	1	4	14	6	0	3717	3762
87	2013	1	4	15	6	0	3574	3757
88	2013	1	4	16	6	0	4064	3741
89	2013	1	4	17	6	0	4059	4450
90	2013	1	4	18	6	0	3805	4766
91	2013	1	4	19	6	0	3428	4254
92	2013	1	4	20	6	0	2981	3651
93	2013	1	4	21	6	0	2578	2892
