	Insufficient time between engineering and construction	Lack of memory for flexibility calculations	Inadequate deadlines for engineering	Schedule without buffers to accommodate changes	Inefficient project budgeting	Incorrect resource estimation	Premature project start date	Lack of necessary information for scheduling	Scheduling of isometric assembly on hold	Unclear authority and responsibility assignments	Lack of procedures for executing pipeline activities	High turnover of field workers	Inadequate quality control of pipeline activities	Poor working conditions	Lack of knowledge of materials or unprepared warehouse team	Inadequate control of equipment and materials	Incorrect identification of materials in the field	Client-driven project changes	Unforeseen site conditions (underground, soil, etc.)	Welding of pipelines with inadequate specification procedures	Lack of integration of pipeline scheduling with other disciplines	Separation between disciplines	Communication failure between leadership and work fronts	Lack of knowledge	Lack of operational training in construction and pipeline assembly	Frequent changes in team structure	Lack of preliminary study of activities to be executed	Non-compliant material supply	Undersized team	Fragmented purchasing orders due to incomplete engineering	Lack of consolidation of the 3D model or project maturity	Lack of registration and control of non-conformities in pipeline activities	Execution with unapproved information and projects	Failure in document management/quality system	Supplier request issues	Failure in knowledge transfer of field routines	Lack of qualification and certification of welders to inspect and release previous work	Inexperience and insecurity of inspectors	Inexperience in inspecting pipeline materials and equipment	Difficulty in registering and measuring Rework
Raise awareness among employees to focus on performance	4,76	3,54	5,88	5,92	4,40	4,91	4,96	5,85	5,16	5,11	6,84	6,12	6,96	5,75	5,58	5,01	7,48	6,04	5,11	7,48	7,63	6,33	7,55	6,04	7,87	5,30	5,59	5,44	6,02	4,48	5,45	6,60	7,62	6,85	5,78	7,55	6,59	5,46	5,05	7,38
Raise awareness among employees to focus on results	4,95	4,21	5,12	5,90	5,48	5,98	5,29	4,94	6,64	5,71	7,69	5,71	7,57	5,93	5,35	7,49	7,49	6,19	5,01	7,56	7,21	7,21	6,88	6,23	8,39	6,30	5,71	5,67	6,12	4,64	5,35	7,16	7,09	6,83	5,77	7,13	6,84	6,28	6,38	7,40
Make decisions based on the organization’s systems	4,99	4,05	5,73	6,23	5,07	5,53	6,70	5,32	6,00	7,67	6,48	5,32	6,33	6,70	5,39	7,21	7,31	6,45	5,13	6,70	7,21	7,32	8,08	6,23	7,63	8,36	5,47	4,67	7,89	4,32	5,21	7,20	7,56	7,17	6,55	6,94	7,07	6,53	6,70	7,75
Define strategy based on demand	6,83	4,05	7,94	8,41	5,61	6,15	7,37	5,49	5,03	7,48	5,57	5,53	5,36	7,15	5,11	4,70	4,94	8,52	7,72	5,08	7,30	7,43	7,84	8,98	5,64	8,26	7,15	4,95	7,83	4,74	4,89	4,94	7,64	5,82	4,37	6,76	4,58	5,77	5,64	5,52
Define routines compatible with the organization’s systems	6,28	4,81	8,11	7,75	5,92	7,26	8,12	6,19	8,09	5,22	7,55	4,67	7,33	6,48	5,19	6,54	6,81	6,54	5,30	7,17	7,51	7,71	8,26	6,43	6,96	7,32	5,91	4,70	6,73	7,21	7,65	7,28	8,16	8,11	6,57	8,13	7,90	6,76	6,76	7,46
Bring stakeholders closer and simplify communication	7,10	5,15	8,08	7,99	5,75	6,00	7,45	8,51	7,67	8,09	6,80	6,12	5,49	5,88	4,16	6,91	6,43	7,41	6,07	6,38	8,51	8,93	9,22	7,71	7,28	8,22	5,29	5,54	5,66	7,08	7,05	6,74	7,14	5,81	5,63	7,99	4,99	4,99	5,26	5,30
Automate processes	6,73	6,01	6,66	5,25	7,31	7,77	7,10	4,91	7,38	4,90	6,50	5,93	7,07	5,26	5,25	7,69	7,96	7,15	5,12	7,21	5,60	6,91	6,99	5,33	5,46	4,81	5,73	5,26	3,99	7,34	7,60	7,51	5,82	7,91	5,42	7,05	6,13	5,26	5,73	5,26
Properly size teams	6,44	4,01	6,44	5,64	4,12	7,49	5,73	5,63	5,55	7,47	4,19	8,04	7,32	6,33	5,41	7,28	5,60	5,13	5,11	3,92	5,16	5,19	5,29	5,19	5,50	6,11	5,62	5,34	8,70	5,69	5,47	6,20	5,37	6,37	4,79	5,16	6,84	6,87	6,52	7,04
Make materials available at the construction site	4,91	4,52	5,13	5,51	5,52	5,81	5,73	6,13	5,07	4,63	3,77	3,66	4,70	6,09	5,24	7,31	7,58	5,85	4,98	5,03	7,23	4,99	6,18	4,40	4,87	5,63	4,60	7,84	5,11	7,82	5,08	6,66	5,85	5,46	7,40	4,74	5,16	4,30	5,37	5,19
Develop a height access project	6,71	4,12	7,56	7,93	5,63	7,26	6,95	8,08	6,14	4,25	7,28	4,35	5,27	7,21	4,94	5,11	4,82	4,34	4,82	6,02	7,61	7,46	4,34	7,55	7,74	5,33	7,59	5,11	6,76	6,61	8,32	4,71	7,43	5,46	4,94	7,16	4,94	4,64	4,91	5,29
Employ mixed solutions for height access	6,54	4,87	5,70	6,49	6,34	5,69	5,73	6,18	5,19	4,06	6,33	5,49	5,89	6,43	3,85	4,80	4,35	4,98	3,49	3,78	5,68	5,44	5,68	6,19	5,69	4,89	6,18	4,64	5,08	3,52	6,91	4,34	4,91	5,22	4,93	5,41	4,80	4,83	4,89	4,79
Use the lightest possible tools for work at height	5,14	4,54	5,14	5,40	4,92	4,81	4,59	3,80	4,95	3,77	5,10	5,11	5,11	5,26	4,38	3,79	3,86	3,50	3,49	3,65	4,13	4,33	3,99	5,44	5,82	5,27	5,02	3,22	3,89	4,03	4,21	3,47	3,80	3,32	3,45	5,11	3,99	3,27	3,50	4,64
Ensure the quality of processes	7,82	6,91	7,84	7,56	8,34	8,52	7,91	7,91	7,52	6,74	8,46	5,41	8,74	7,92	6,43	8,30	8,65	6,02	4,91	8,61	6,53	6,64	6,86	7,36	8,80	6,23	7,02	8,80	6,23	6,45	8,12	8,46	8,81	8,34	6,55	7,48	8,63	7,92	8,52	8,65
Ensure accessibility and materials for assembly and welding	5,41	4,79	5,32	7,20	4,65	4,29	6,93	7,63	7,33	4,95	6,94	4,59	5,32	6,61	6,89	5,18	5,80	4,63	6,20	5,24	7,52	7,25	6,55	5,60	6,74	4,51	6,76	5,70	5,34	5,23	6,90	4,75	5,75	5,33	5,19	6,42	4,82	5,73	5,97	5,16
Ensure a safe work environment	4,98	4,12	4,77	5,07	4,77	5,85	4,87	6,01	5,60	5,37	8,18	7,41	5,43	9,16	5,02	6,24	5,32	5,21	5,73	5,69	5,61	5,80	6,33	6,19	5,70	5,56	5,99	4,98	5,24	4,29	6,88	6,66	5,81	5,19	4,47	7,36	4,83	6,12	6,73	4,42
Ensure a good organizational environment	5,07	3,36	5,33	5,49	5,81	5,69	5,63	5,97	5,17	7,63	5,27	7,87	6,90	8,89	4,67	5,52	6,02	5,29	4,82	5,79	6,12	7,54	8,32	6,33	6,09	8,18	6,01	5,55	8,04	5,09	5,55	5,21	5,70	6,22	5,00	5,07	5,27	5,46	5,24	6,99
Ensure integration of all parts involved in the project	8,20	5,98	7,76	7,58	7,29	7,76	7,40	8,37	7,78	6,18	5,93	5,16	6,73	6,29	5,79	6,83	7,11	5,41	5,44	6,84	7,76	8,39	8,37	6,45	6,92	5,61	7,03	7,23	5,68	5,37	6,99	7,10	7,13	7,72	6,70	8,22	7,91	7,83	7,48	7,72
Ensure the use of the updated version of the project	5,11	4,89	4,82	4,93	4,46	4,53	4,98	5,69	5,52	4,78	7,53	4,16	6,98	3,50	5,23	6,14	5,63	7,06	4,80	5,88	7,29	6,82	6,98	7,28	5,44	6,18	5,78	6,96	5,07	6,76	7,13	5,13	7,78	7,99	6,22	5,55	5,02	5,00	4,99	5,07
Ensure the quality of engineering projects	8,04	7,26	8,51	7,91	7,96	8,43	7,13	7,96	7,91	5,82	7,91	5,41	5,98	6,64	5,81	5,78	5,63	5,99	6,63	7,97	7,50	7,25	5,71	5,44	5,53	5,19	7,78	5,88	5,22	7,10	7,66	5,49	7,56	5,98	7,10	5,61	5,53	5,71	5,41	5,36
Increase pre-fabrication of assembly components	7,06	4,86	7,17	8,51	5,55	5,98	6,12	5,88	7,60	5,29	6,09	5,27	5,46	5,93	4,94	5,23	5,49	5,92	4,43	5,25	5,99	6,03	5,79	6,00	7,71	5,33	5,99	5,58	4,80	5,37	6,13	5,17	5,85	5,47	5,02	5,80	5,32	5,37	5,58	5,10
Innovate construction and industrial assembly technologies	8,09	4,72	8,30	8,46	6,23	6,08	7,06	5,93	5,85	4,09	5,10	5,55	5,47	5,97	5,37	5,89	5,78	5,90	4,68	5,99	7,84	7,55	7,48	8,00	8,10	5,42	7,54	5,37	4,16	4,94	5,98	5,63	5,98	5,73	5,37	5,69	5,64	5,32	5,12	5,02
Consolidate engineering projects on time	9,02	6,98	9,00	7,96	7,43	7,84	8,46	8,12	6,60	5,04	7,45	4,70	5,22	5,35	4,70	5,07	5,03	5,70	6,43	7,81	8,08	8,38	5,92	5,53	6,00	5,37	7,76	5,55	4,64	7,46	8,36	5,23	8,49	6,60	6,34	4,96	5,06	4,74	4,94	4,91
Measure and control what is important for the final result	7,56	6,55	7,26	6,76	7,46	7,27	7,13	8,65	8,00	7,89	8,35	6,29	7,80	5,58	5,97	7,85	7,46	5,03	6,96	7,06	7,15	7,34	7,89	6,11	7,72	5,07	7,42	6,46	6,64	6,78	8,07	8,04	7,82	7,38	6,16	6,07	6,84	6,91	7,05	7,58
Measure Rework	6,14	6,09	7,28	8,26	7,16	7,45	7,48	7,79	7,92	6,05	8,04	5,08	8,20	6,01	6,35	7,46	7,81	7,54	6,90	8,33	7,54	7,79	7,06	8,20	8,22	7,18	8,08	8,21	6,92	6,81	7,35	7,71	8,00	7,52	6,94	7,37	7,99	7,28	7,59	8,78
Improve the cutting process	4,53	4,23	4,63	4,91	4,48	5,16	4,82	4,91	3,65	3,87	7,48	5,56	7,36	6,51	4,89	5,29	4,80	4,98	4,08	5,59	5,56	5,32	5,52	7,06	7,22	5,36	5,79	7,57	5,19	5,02	5,43	5,35	5,82	5,37	4,91	7,17	5,70	6,06	6,65	5,75
Continuously improve processes	7,47	6,09	7,96	8,46	7,16	7,16	7,25	7,96	7,13	6,94	7,75	5,24	7,72	6,45	7,21	7,40	7,59	5,11	6,20	7,87	8,18	7,57	7,92	8,19	8,00	7,05	8,04	7,34	7,13	7,13	8,48	7,80	7,99	8,34	6,82	8,08	7,34	7,94	7,55	7,87
Improve welding processes	5,16	4,52	4,85	5,88	5,25	6,29	5,40	5,10	6,62	5,74	7,26	4,37	7,18	7,11	5,27	6,29	6,35	5,56	4,65	8,67	8,21	7,57	6,82	7,88	8,34	4,80	6,33	7,16	5,71	4,45	6,56	7,10	5,89	6,00	4,82	5,13	7,72	7,59	7,66	7,68
Do not allow errors to persist	4,80	5,82	6,33	7,41	6,34	6,85	7,32	7,32	6,56	5,38	8,26	5,11	8,08	7,45	6,83	7,79	7,79	4,99	6,62	8,08	8,10	7,57	7,63	7,46	7,44	4,63	7,81	7,10	6,47	6,40	8,02	8,01	8,04	7,60	6,20	6,94	7,89	7,16	7,16	8,08
Organize the site by sequencing processes	4,93	3,77	5,02	6,22	5,40	5,63	4,56	5,70	5,79	4,82	6,74	4,84	7,50	6,49	6,38	6,59	7,64	3,76	4,41	6,66	6,70	6,66	6,94	6,61	7,13	5,55	5,47	5,07	5,46	5,02	6,41	5,55	5,04	5,64	4,59	4,65	4,91	5,52	5,80	6,23
Establish partnerships with research centers	3,47	3,67	3,39	3,68	3,61	3,47	3,68	3,73	3,74	3,68	3,65	3,61	4,53	5,64	4,14	4,12	3,81	3,31	3,76	6,02	3,88	3,90	3,96	7,36	3,78	3,65	3,97	3,90	4,10	4,06	3,71	3,87	3,65	3,56	3,20	3,75	3,75	3,77	3,68	3,65
Analyze situations and processes as parts of a system	6,49	5,46	6,44	6,10	4,41	4,59	6,15	6,08	5,86	4,57	4,57	4,58	6,86	6,39	5,24	6,00	6,13	5,11	5,39	5,59	6,93	6,51	7,50	5,57	7,03	5,52	6,28	4,23	5,93	5,60	6,39	6,51	6,32	6,20	5,37	4,93	5,59	4,53	4,72	6,51
Plan with experienced employees	7,07	4,37	8,78	8,82	8,08	8,22	7,96	8,62	8,12	8,36	6,81	4,53	5,08	7,40	4,98	6,17	5,60	5,03	6,24	6,01	6,33	6,24	6,45	6,64	6,01	6,61	6,33	4,63	6,66	5,84	6,68	6,60	6,82	6,23	5,40	5,21	6,43	6,17	6,38	6,59
Set daily and weekly goals	7,63	5,67	7,91	8,95	6,23	7,56	5,93	8,51	8,26	7,69	7,89	6,73	8,01	7,96	7,45	7,76	7,76	6,51	6,17	6,92	7,92	7,96	7,92	8,12	6,92	7,10	5,98	6,98	7,48	6,41	7,59	7,04	7,55	7,74	5,80	5,82	6,71	6,92	7,03	7,04
Design in parallel with production	8,25	6,98	7,52	6,91	6,45	6,55	7,10	7,40	6,81	6,74	6,91	6,92	6,42	5,07	7,06	7,32	7,13	5,43	6,76	7,18	7,16	6,92	6,79	7,13	6,92	7,28	7,30	6,39	7,31	6,53	6,89	5,82	7,01	6,94	5,33	6,63	6,42	7,16	7,03	6,60
Approve the detailing project before execution	7,52	6,76	7,65	8,16	8,30	8,30	7,17	7,58	7,40	4,95	7,40	3,87	6,73	6,39	4,72	4,89	4,99	5,52	6,64	7,13	7,09	6,66	6,83	8,20	4,83	5,16	6,94	6,73	6,56	7,13	7,25	4,64	7,05	6,99	4,64	4,87	4,72	4,64	4,87	6,25
Track materials, tools, and supplies	3,50	3,04	3,62	3,96	3,64	3,86	3,07	5,03	3,77	3,39	4,12	3,65	4,63	4,20	8,25	7,97	8,11	3,54	3,95	4,80	4,25	4,14	5,98	7,97	5,15	4,45	4,70	7,99	4,80	4,65	3,70	4,79	4,83	6,13	4,83	4,65	4,30	5,88	5,37	4,52
