Countries	PIB	1/Desemprego	Income Tax Rate (%)	1/Infl	Inc. PIB per Capita (%)	Reservas Totais	R (% do PIB)/D (% do PIB)	Pop. Act. (%) (15 - 65)	Despesas do Governo em Edu. (% do PIB)	Taxa de alfab.	Valor agregado	P&D (% do PIB)	Export de Alta Tecno (US$)	Import. Bens e Serv (% do PIB)	GINI	1/Pop. favelas	ECI_2019	Class	Overall score
Albania	38.1112	0.073385878	23	0.601106035	2.160280263	3834359590	1.067791718	68.46849263	3.839856704	99.11753082	4.641822074		3743923.2	44.10620273	32.01428571		-0.440941	3	65.94
Algeria	614.9052	0.086278299	35	0.24230676	-1.663330367	88850776517		63.57999936	6.45411253	97.4265213	2.693262231	0.54297	6936096.5	31.3831527	27.6		-1.027936	3	46.66
Angola	198.8652	0.136317784	18.6	0.040629596	-5.316026375	17330953410	1.138227082	51.01198526	2.271925002	77.43112946	3.372697532	0.03229	84125784	25.62085512	51.3	0.020533881	-1.48702	3	51.64
Argentina	911.8488	0.108161897	35	0.023371039	-3.742704218	48846946014	0.809172339	64.12498186	5.186924934	99.48858207	27.41635224	0.53629	915264006.6	14.38735774	41.77777778	0.068027212	-0.243857	3	52.08
Armenia	32.063	0.055636538	24.6	1.066325443	2.357112023	2448545113	0.995427599	68.0875882	2.597638083	99.8560791	5.768455489	0.216563333	32154161	47.7781806	30.91	0.10752688	-0.269703	3	68.84
Australia	1297.5678	0.174532254	45	0.644496004	0.466385197	54516671606	0.958340675	65.17765818	5.170856794		29.42334113	1.87466	5469501079	21.10116692	34.13333333		-0.454162	3	80.9
Austria	460.39	0.186018825	52	0.611770464	-0.326654819	24413490023	0.99030692	66.67590904	5.358956655		45.94643952	3.1377125	16594837989	50.50087091	30.51111111		1.771502	1	72.96
Azerbaijan	171.559	0.18489073	25	0.150947953	-1.529590584	6919427175	1.50956497	70.40796282	2.628435016	99.94319439	20.24173096	0.191736667	21777257.4	39.26390833			-1.191288	3	66.14
Bangladesh	773.3272	0.224557621	26	0.172675784	5.667620768	34722475325	1.083943462	67.09931706	1.430930018	88.26026154	8.453106894		77908600.75	20.9964331	32.4	0.020703933	-0.88344	3	55.26
Belarus	186.0042	0.30102348	13	0.147789075	0.905651449	7248513000	1.029157895	68.20365835	5.010915947	99.87283325	40.81293601	0.563056667	717687100	64.55089236	25.87	0.025510204	0.830929	2	58.34
Belgium	554.5174	0.148960257	50	0.628298567	-0.234271997	27751074652	0.961451496	64.158748	6.421236674		50.45895435	2.649846667	29614353880	80.7592109	27.61111111		1.211482	1	68.68
Bolivia	89.3546	0.260159217	13	0.433576136	-0.220353842	8186379146		61.72317807		99.13419088	9.622301868		16425851.6	30.31385572	45.25	0.020408163	-0.83195	3	42.98
Bosnia and Herzegovina	47.1254	0.046550167	10	2.983293556	2.849738799	6866679814	1.10497668	68.77704447		99.5623703	18.41387021	0.203756667	211938511.4	54.19784267	33	0.131578949	0.726767	2	62.44
Botswana	40.612	0.055820392	25	0.352360817	-0.179166528	6489472531	1.144957542	61.68384165	7.177630067	97.4562912	6.304532466	0.39804	31111733.6	44.17143702	53.3		-0.791066	3	68.28
Brazil	3299.273	0.079337374	27.5	0.21978022	-1.332162532	3.6523E+11	0.805945304	69.7080551	6.24101003	98.89040565	33.82205526	1.172576667	9498045930	13.58859793	52.58	0.061349696	0.102134	2	52.74
Bulgaria	160.8342	0.169428349	10	0.808538163	2.334063558	29604937741	1.0375559	64.46976356	4.091020107	97.86505127	31.36072446	0.756966667	1862551638	59.87231697	38.38888889		0.528509	2	69.78
Burkina Faso	42.1092	0.187652468	27.5	2.779321845	2.29991455		0.994364204	52.67819282	5.614836693	54.48513985		0.61089	11532085	32.08959429	41.3	0.017301038	-0.932345	3	58.18
Cambodia	74.7938	0.849617672	23	0.404236397	3.509356522	15209280038	1.365541449	64.2609824	2.162859917	91.17711258	0.259529189	0.11823	196386713.6	63.63181765		0.021551724	-0.497443	3	57.64
Cameroon	443.4244	0.200104054	34.6	0.711541198	0.5409903	2960609983	1.312638522	54.67597049	3.010187566	85.08000183	7.611958329		19461333.67	21.22848996	46.6	0.028776978	-1.527305	3	52.84
Canada	1452.8042	0.130606274	33.4	0.768639508	-0.576260787	85809333513	1.03439242	66.89175187	5.262050152		36.85127234	1.62578	28214221984	33.31964182	33.36666667	100.0000022	0.692951	2	77.62
Chile	466.9744	0.126980902	37	0.367511944	-0.883964613	39831060001	0.9519177	68.69305092	5.398279985	99.20476723	16.3668025	0.36271	814909018.2	27.74386927	45.1	0.112359549	-0.206601	3	75.4
China	24641.5312	0.217344056	45	0.454710804	5.296567025	3.21634E+12		71.23311939	3.667853355	99.78359985	41.45126852	2.11898	6.90802E+11	17.43878643	39.6	0.040650406	1.345562	1	56.42
Colombia	740.6514	0.094318268	36.6	0.237034228	-0.870358237	50468937279	0.802925439	68.41505097	4.492009997	98.66765594	22.9537018	0.24814	701160436	20.81188949	51.85	0.035778176	0.089482	2	67.72
Congo. Dem. Rep.	83.6226	0.178660759	31	0.046870899	0.330590265	802171963		50.86292006	1.786819994	84.29352951		0.40638	18119774.2	34.20027861	42.1	0.012771392	-1.339828	3	
Congo. Rep.	78.9716	0.108325931	40.2	0.59333096	-7.983182687	626567384	1.195856893	55.59888689	4.13805753	81.48436737	2.415318415		52552264.8	59.78873082	48.9	0.020876827	-1.37599	3	
Costa Rica	98.4724	0.101669412	27.2	0.927471712	0.8284256	7678633756	0.862211295	69.08825096	6.859578037	99.28184891	14.66650599	0.42667	1080123191	31.67666025	48.59	0.25641025	0.384098	2	65.26
Cote d'Ivoire	129.6418	0.256121299	38.8	0.490966222	3.26180211		0.839719168	55.2032859	3.679035008	61.65237427	14.98979586	0.0704	121139068.8	22.61128223	39.35	0.016764459	-1.112656	3	
Croatia	76.4632	0.104001997	37	2.184359983	1.820184431	19415663578	1.025005083	65.06377627	3.905669928	99.72363281	29.10170812	0.89924	1061599699	48.93693769	31.1		0.868511	2	63.16
Cyprus	52.6198	0.118376817	36	1.269680041	2.519832874	979034497.5	1.021589889	69.50063985	5.949790001	99.82099152	30.88451973	0.540463333	72485756.2	74.19567532	33.52222222		0.320184	2	70.06
Czech Republic	359.9532	0.290951411	24.8	0.547045952	1.33645666	1.38439E+11	0.986411609	65.09208901	4.542270025		52.34919323	1.80037	33484237063	69.21380999	25.71111111		1.802727	1	74.18
Denmark	260.5214	0.176609798	49.8	1.189626457	1.098617441	70012245744	1.050723129	63.74918707	7.752439976		57.61185818	3.058633333	9721432331	49.01964599	28.11111111	999.9999525	1.098704	1	77.48
Dominican Republic	187.203	0.129657962	27	0.399137862	2.224517361	8088089806	0.952866123	64.92251179	3.935507476	97.61339442			388421058.8	27.33277783	44.41	0.067567567	-0.183106	3	61.72
Ecuador	670.304	0.16616264	32.5	0.324128095	-2.723905841	3610728130		64.79369242	4.391652012	98.9292841	15.4705742	0.3737075	78734693.4	21.62895806	45.8	0.049504951	-1.109666	3	50.68
Egypt. Arab Rep.	746.9886	0.099872164	25.5	0.082873386	2.488782293	37084765460	0.681584157	60.97042081	3.803473997	89.83263397	20.7161184	0.703923333	184515009.2	24.99360228	30.53333333	0.16949153	-0.146508	3	
El Salvador	52.4044	0.183371841	28	0.966370313	-0.297451868	3580620681	1.003071614	64.53657441	3.635344982	97.71825191	19.12749274	0.16347	243868880.8	45.30643625	40.56666667	0.044642858	0.094866	2	61.44
Estonia	31.0054	0.106903851	22.6	0.506996552	2.626526426	975102922.8	0.985684824	63.99324836	5.103209972	99.94889832	29.84949163	1.31018	1948569929	71.52209138	32.27777778		0.91685	2	78.26
Eswatini	139.506	0.093984962	27.2	0.145319266	0.245695491	510799619.3		57.91699721	5.643962002	95.46936798	2.234490637	0.26661	4919982.2	43.29404662	54.6	0.030864198	-0.027597	3	54.48
Ethiopia	247.1656	0.195886386	33.5	0.115300357	5.249570322	3220559613	0.849919968	55.69516671	5.259903272	72.75482178	16.07359294	0.27437	23118300	22.23837143	35	0.015360983	-0.91816	3	52.26
Finland	1893.2528	0.117849483	36.86	1.125872551	0.928883196	11237593806	0.972126836	62.18053938	6.494646708		46.6995028	2.737876667	4373912207	37.78180699	27.25555556		1.475789	1	75.82
France	1169.946	0.074090539	41	0.628377529	-0.400817368	1.76383E+11	0.93417521	62.01995849	5.432384968		51.18532021	2.206266667	1.08551E+11	31.60666134	32.475		1.312219	1	65.06
Gabon	41.0062	0.059189109	29	0.262508532	-1.566155179	1111856436	1.18741406	59.45840376	2.949524939	89.14390182	5.385013366			23.68480662	38	0.027322406	-1.435454	3	56.98
Georgia	2630.0728	0.112291419	31	0.384733764	2.179102605	3300741372	0.995096876	65.36435439	3.667425966	99.68254089	12.78641874	0.27887	19208662.4	59.02014323	37.26	0.029325515	-0.013926	3	75.64
