Sex;Zygosity;Moed;Faed;Famin;Eng;Math;Soc;Nat;Vocab;Pairs
2;1;3;4;2;14;13;17;18;14;1
2;1;3;4;2;11;14;15;10;12;1
2;1;1;1;1;20;20;16;16;13;4
2;1;1;1;1;17;19;13;13;14;4
2;1;1;1;1;11;8;15;16;12;5
2;1;1;1;1;16;13;13;8;15;5
1;2;3;2;4;9;19;7;10;6;7
1;2;3;2;4;8;16;15;17;11;7
1;2;5;4;3;15;23;23;21;21;10
1;2;5;4;3;15;13;13;20;19;10
2;2;4;2;3;20;17;16;12;12;11
2;2;4;2;3;19;18;13;18;15;11
1;1;4;6;3;26;20;27;23;28;12
1;1;4;6;3;25;20;29;24;30;12
1;1;4;6;5;28;31;31;29;30;16
1;1;4;6;5;27;28;28;27;30;16
2;2;5;4;1;24;25;17;21;22;17
2;2;5;4;1;27;25;22;24;23;17
1;1;3;2;2;19;19;17;22;16;19
1;1;3;2;2;19;22;13;14;17;19
1;1;2;1;2;7;18;15;14;5;20
1;1;2;1;2;16;15;17;15;7;20
2;1;3;5;4;22;23;23;24;23;26
2;1;3;5;4;21;24;24;24;26;26
2;2;4;1;3;8;7;13;3;10;27
2;2;4;1;3;16;15;13;14;15;27
2;1;4;3;2;25;17;21;18;23;28
2;1;4;3;2;22;13;19;15;19;28
1;1;4;4;4;21;14;25;23;25;29
1;1;4;4;4;18;17;17;20;20;29
2;2;5;3;2;22;21;16;21;27;30
2;2;5;3;2;24;20;25;18;26;30
2;2;6;6;2;23;26;25;20;23;33
2;2;6;6;2;18;13;24;18;22;33
2;1;2;4;2;18;19;21;20;21;35
2;1;2;4;2;23;20;16;18;24;35
1;1;3;5;5;19;25;25;28;26;36
1;1;3;5;5;23;29;24;23;27;36
2;1;2;1;1;13;14;14;11;13;37
2;1;2;1;1;14;12;13;13;16;37
1;1;6;5;4;10;17;12;20;9;38
1;1;6;5;4;15;16;21;14;10;38
1;1;4;4;1;23;11;21;21;21;42
1;1;4;4;1;24;23;24;21;21;42
2;1;4;4;4;17;5;14;15;18;46
2;1;4;4;4;20;13;13;13;18;46
1;2;4;6;5;20;27;23;23;18;48
1;2;4;6;5;24;28;28;31;28;48
2;1;3;4;2;24;30;25;27;28;49
2;1;3;4;2;27;30;25;28;29;49
2;1;2;1;3;21;7;19;14;16;50
2;1;2;1;3;22;14;16;18;15;50
1;1;4;3;3;27;25;26;25;25;55
1;1;4;3;3;22;30;25;27;26;55
2;1;4;3;5;17;11;20;19;18;57
2;1;4;3;5;20;18;20;19;18;57
2;1;3;3;3;14;13;17;9;18;59
2;1;3;3;3;14;14;19;13;18;59
2;2;3;4;3;23;22;28;26;27;61
2;2;3;4;3;27;26;26;27;28;61
2;1;4;2;1;20;20;21;22;24;63
2;1;4;2;1;24;25;21;23;30;63
1;1;4;5;6;16;23;20;23;23;64
1;1;4;5;6;21;27;25;26;25;64
1;1;4;2;2;17;22;28;25;24;65
1;1;4;2;2;17;23;26;25;22;65
1;1;3;3;4;19;23;26;27;26;67
1;1;3;3;4;17;33;25;25;27;67
1;1;3;3;1;25;23;22;26;24;68
1;1;3;3;1;26;30;29;21;24;68
1;1;2;2;1;23;20;22;18;23;71
1;1;2;2;1;25;25;27;25;23;71
2;1;4;4;5;19;29;25;24;28;72
2;1;4;4;5;27;24;26;24;25;72
1;1;5;3;2;19;29;25;24;23;74
1;1;5;3;2;14;25;15;22;18;74
2;1;5;6;4;27;31;22;26;20;78
2;1;5;6;4;25;25;26;28;23;78
1;2;3;4;4;23;32;17;26;22;79
1;2;3;4;4;18;11;15;14;18;79
1;1;4;6;4;17;20;22;22;23;80
1;1;4;6;4;14;21;17;15;21;80
2;1;3;4;4;25;18;23;17;22;82
2;1;3;4;4;27;23;28;26;29;82
2;1;4;5;4;24;26;21;22;22;83
2;1;4;5;4;26;25;26;24;24;83
2;2;3;2;6;19;11;17;15;13;84
2;2;3;2;6;19;24;17;18;18;84
1;1;4;6;5;24;24;28;26;27;85
1;1;4;6;5;21;27;29;29;26;85
2;1;3;4;7;25;19;26;15;25;88
2;1;3;4;7;25;20;25;25;27;88
2;2;3;2;4;12;17;15;11;19;89
2;2;3;2;4;19;17;18;17;19;89
2;1;3;3;1;11;14;13;8;10;90
2;1;3;3;1;13;20;16;13;14;90
1;1;4;6;5;25;25;20;17;21;91
1;1;4;6;5;22;28;21;20;18;91
1;2;3;4;4;20;24;27;18;23;92
1;2;3;4;4;18;17;12;17;24;92
2;1;4;5;4;23;20;23;21;25;96
2;1;4;5;4;23;21;26;23;25;96
2;1;4;3;2;17;20;18;14;18;97
2;1;4;3;2;19;18;19;21;19;97
1;2;4;4;3;19;22;26;16;20;100
1;2;4;4;3;24;26;19;16;21;100
2;2;3;5;6;28;22;25;26;20;102
2;2;3;5;6;24;27;22;27;22;102
2;1;5;5;4;14;11;25;23;30;103
2;1;5;5;4;20;11;26;18;32;103
2;1;4;3;7;18;26;21;23;19;104
2;1;4;3;7;17;23;21;26;20;104
1;2;6;4;4;24;30;25;29;26;105
1;2;6;4;4;25;32;29;29;31;105
1;1;4;4;4;22;22;24;24;22;106
1;1;4;4;4;22;26;23;23;22;106
2;1;4;4;5;25;20;24;21;20;107
2;1;4;4;5;25;26;29;25;23;107
1;2;4;5;4;23;27;18;16;21;108
1;2;4;5;4;18;21;12;10;14;108
1;2;6;5;7;27;34;30;29;32;109
1;2;6;5;7;28;34;31;30;31;109
2;1;3;5;1;25;24;29;19;29;110
2;1;3;5;1;26;24;27;28;29;110
2;1;4;4;4;23;28;25;23;21;111
2;1;4;4;4;26;26;24;22;24;111
1;1;2;1;2;14;26;21;20;21;112
1;1;2;1;2;13;20;21;12;19;112
2;2;5;6;3;19;28;18;21;21;113
2;2;5;6;3;26;29;25;24;24;113
1;1;2;1;1;14;21;15;17;13;114
1;1;2;1;1;18;20;18;16;16;114
1;1;4;5;3;22;21;25;22;22;115
1;1;4;5;3;21;23;22;20;28;115
1;1;1;1;1;15;14;14;16;14;116
1;1;1;1;1;15;14;18;17;15;116
2;1;3;3;5;20;20;21;19;21;117
2;1;3;3;5;21;25;20;23;23;117
2;1;5;4;3;20;19;24;18;21;118
2;1;5;4;3;19;11;17;21;20;118
2;2;2;1;2;17;11;11;16;13;123
2;2;2;1;2;14;17;15;20;18;123
2;1;4;4;3;17;13;15;18;17;133
2;1;4;4;3;16;12;17;18;17;133
1;1;3;4;4;11;6;17;8;16;134
1;1;3;4;4;15;12;17;21;17;134
2;2;5;5;5;12;12;13;18;18;139
2;2;5;5;5;18;13;18;18;20;139
2;2;5;4;4;21;20;18;24;16;140
2;2;5;4;4;20;21;14;16;17;140
1;1;4;5;2;16;25;21;21;18;142
1;1;4;5;2;15;18;16;21;17;142
2;1;3;3;3;24;19;24;23;23;145
2;1;3;3;3;23;19;26;23;27;145
1;2;4;3;4;16;19;20;9;22;148
1;2;4;3;4;14;21;18;19;18;148
2;2;5;5;5;26;33;25;29;25;149
2;2;5;5;5;27;34;29;31;25;149
2;1;3;3;4;20;20;19;21;21;151
2;1;3;3;4;24;20;21;21;21;151
1;1;3;4;4;20;18;25;15;25;153
