Causes;Causes Label;Mitigating Actions;Mitigating Actions Label;Cluster;Paper ID
Time pressure caused by aggressive, unrealistic schedules and tight deadlines, forcing project teams to rush critical activities without sufficient time for quality assurance, error correction, or proper coordination.;C107;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Time & Planning;0
Insufficient availability or shortage of skilled personnel, including supervisory staff and engineers, resulting in overburdened teams, inadequate oversight, and increased errors requiring rework.;C055;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;0
Insufficient or ineffective supervisory oversight during project execution, resulting in failure to detect, monitor, or rectify errors promptly and consequently leading to rework.;C059;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Management and Supervision;0
Inadequate technical expertise, insufficient training, or lack of practical knowledge among project personnel, including designers and technical staff, leading to errors, omissions, and execution failures.;C049;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;0
A lack of adherence or commitment to safety procedures, including deliberate violations, shortcuts, or complacency, leading to accidents, errors, and subsequent rework.;C002;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Safety Culture;0
Failures or deficiencies in information transfer and misinterpretation of instructions among stakeholders, resulting in errors such as using incorrect drawings, incorrect materials, or incorrect specifications.;C037;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Communication;0
Frequent or late design changes introduced during construction, often due to incomplete or unclear initial designs, inadequate review, or client-driven modifications, resulting in repeated work.;C042;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Design;0
Errors, omissions, or inaccuracies in design documents or technical specifications caused by tight deadlines, complexity, or insufficient coordination, necessitating corrections during construction.;C033;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;2
Poor management or deficient control over project documentation resulting in misinterpretations, omissions, and errors.;C085;Improve documentation preparation and implement robust document auditing and control systems to ensure document accuracy and consistency throughout the project lifecycle.;A19;Documentation & Information Management;2
Inconsistencies, gaps, or contradictory information across project data and documentation, causing conflicts, misinterpretations, and rework risks.;C050;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Documentation & Information Management;2
